A3;Country;land.sqm
ABW;ARUBA;180
AFG;AFGHANISTAN;652860
AGO;ANGOLA;1246700
ALB;ALBANIA;27400
AND;ANDORRA;470
ARE;UNITED ARAB EMIRATES;83600
ARG;ARGENTINA;2736690
ARM;ARMENIA;28470
ASM;AMERICAN SAMOA;200
ATG;ANTIGUA AND BARBUDA;440
AUS;AUSTRALIA;7682300
AUT;AUSTRIA;82523
AZE;AZERBAIJAN;82663
BDI;BURUNDI;25680
BEL;BELGIUM;30280
BEN;BENIN;112760
BFA;BURKINA FASO;273600
BGD;BANGLADESH;130170
BGR;BULGARIA;108560
BHR;BAHRAIN;771
BHS;BAHAMAS;10010
BIH;BOSNIA AND HERZEGOWINA;51200
BLR;BELARUS;202910
BLZ;BELIZE;22810
BMU;BERMUDA;50
BOL;BOLIVIA;1083300
BRA;BRAZIL;8358140
BRB;BARBADOS;430
BRN;BRUNEI DARUSSALAM;5270
BTN;BHUTAN;38117
BWA;BOTSWANA;566730
CAF;CENTRAL AFRICAN REPUBLIC;622980
CAN;CANADA;9093510
CHE;SWITZERLAND;39516
CHL;CHILE;743532
CHN;CHINA;9388211
CIV;COTE D'IVOIRE;318000
CMR;CAMEROON;472710
COD;CONGO, Democratic Republic of (was Zaire);2267050
COG;CONGO, Republic of;341500
COL;COLOMBIA;1109500
COM;COMOROS;1861
CPV;CAPE VERDE;4030
CRI;COSTA RICA;51060
CUB;CUBA;104020
CYM;CAYMAN ISLANDS;240
CYP;CYPRUS;9240
CZE;CZECH REPUBLIC;77210
DEU;GERMANY;348900
DJI;DJIBOUTI;23180
DMA;DOMINICA;750
DNK;DENMARK;42262
DOM;DOMINICAN REPUBLIC;48310
DZA;ALGERIA;2381741
ECU;ECUADOR;248360
EGY;EGYPT;995450
ERI;ERITREA;101000
ESP;SPAIN;500210
EST;ESTONIA;42390
ETH;ETHIOPIA;1.00E+06
FIN;FINLAND;303890
FJI;FIJI;18270
FRA;FRANCE;547557
FRO;FAROE ISLANDS;1396
FSM;MICRONESIA;700
GAB;GABON;257670
GBR;UNITED KINGDOM;241930
GEO;GEORGIA;69490
GHA;GHANA;227540
GIB;GIBRALTAR;10
GIN;GUINEA;245720
GMB;GAMBIA;10120
GNB;GUINEA-BISSAU;28120
GNQ;EQUATORIAL GUINEA;28050
GRC;GREECE;128900
GRD;GRENADA;340
GRL;GREENLAND;410450
GTM;GUATEMALA;107160
GUM;GUAM;540
GUY;GUYANA;196850
HKG;HONG KONG;1050
HND;HONDURAS;111890
HRV;CROATIA (local name: Hrvatska);55960
HTI;HAITI;27560
HUN;HUNGARY;90530
IDN;INDONESIA;1811570
IND;INDIA;2973190
IRL;IRELAND;68890
IRN;IRAN (ISLAMIC REPUBLIC OF);1628760
IRQ;IRAQ;434320
ISL;ICELAND;100250
ISR;ISRAEL;21640
ITA;ITALY;294140
JAM;JAMAICA;10830
JOR;JORDAN;88780
JPN;JAPAN;364560
KAZ;KAZAKHSTAN;2699700
KEN;KENYA;569140
KGZ;KYRGYZSTAN;191800
KHM;CAMBODIA;176520
KIR;KIRIBATI;810
KNA;SAINT KITTS AND NEVIS;260
KOR;KOREA;97480
KWT;KUWAIT;17820
LAO;LAO PEOPLE'S DEMOCRATIC REPUBLIC;230800
LBN;LEBANON;10230
LBR;LIBERIA;96320
LBY;LIBYAN ARAB JAMAHIRIYA;1759540
LCA;SAINT LUCIA;610
LIE;LIECHTENSTEIN;160
LKA;SRI LANKA;62710
LSO;LESOTHO;30360
LTU;LITHUANIA;62650
LUX;LUXEMBOURG;2590
LVA;LATVIA;62180
MAC;MACAU;30.3
MAR;MOROCCO;446300
MCO;MONACO;2
MDA;MOLDOVA;32870
MDG;MADAGASCAR;581800
MDV;MALDIVES;300
MEX;MEXICO;1943950
MHL;MARSHALL ISLANDS;180
MKD;MACEDONIA;25220
MLI;MALI;1220190
MLT;MALTA;320
MMR;MYANMAR;653080
MNG;MONGOLIA;1553560
MNP;NORTHERN MARIANA ISLANDS;460
MOZ;MOZAMBIQUE;786380
MRT;MAURITANIA;1030700
MUS;MAURITIUS;2030
MWI;MALAWI;94280
MYS;MALAYSIA;328550
NAM;NAMIBIA;823290
NCL;NEW CALEDONIA;18280
NER;NIGER;1266700
NGA;NIGERIA;910770
NIC;NICARAGUA;120340
NLD;NETHERLANDS;33690
NOR;NORWAY;365245
NPL;NEPAL;143350
NRU;NAURU;20
NZL;NEW ZEALAND;263310
OMN;OMAN;309500
PAK;PAKISTAN;770880
PAN;PANAMA;74340
PER;PERU;1280000
PHL;PHILIPPINES;298170
PLW;PALAU;460
PNG;PAPUA NEW GUINEA;452860
POL;POLAND;306190
PRI;PUERTO RICO;8870
PRK;KOREA;120410
PRT;PORTUGAL;91605
PRY;PARAGUAY;397300
PSE;PALESTINIAN TERRITORY;6020
PYF;FRENCH POLYNESIA;3660
QAT;QATAR;11610
ROU;ROMANIA;230080
RUS;RUSSIAN FEDERATION;16376870
RWA;RWANDA;24670
SAU;SAUDI ARABIA;2149690
SDN;SUDAN;2376000
SEN;SENEGAL;192530
SGP;SINGAPORE;709
SLB;SOLOMON ISLANDS;27990
SLE;SIERRA LEONE;72180
SLV;EL SALVADOR;20720
SMR;SAN MARINO;60
SOM;SOMALIA;627340
STP;SAO TOME AND PRINCIPE;960
SUR;SURINAME;156000
SVK;SLOVAKIA;48086
SVN;SLOVENIA;20140
SWE;SWEDEN;407310
SWZ;SWAZILAND;17200
SYC;SEYCHELLES;460
SYR;SYRIAN ARAB REPUBLIC;183630
TCA;TURKS AND CAICOS ISLANDS;950
TCD;CHAD;1259200
TGO;TOGO;54390
THA;THAILAND;510890
TJK;TAJIKISTAN;138786
TKM;TURKMENISTAN;469930
TLS;TIMOR-LESTE;14870
TON;TONGA;720
TTO;TRINIDAD AND TOBAGO;5130
TUN;TUNISIA;155360
TUR;TURKEY;769630
TUV;TUVALU;30
TZA;TANZANIA;885800
UGA;UGANDA;200520
UKR;UKRAINE;579290
URY;URUGUAY;175020
USA;UNITED STATES;9147420
UZB;UZBEKISTAN;425400
VCT;SAINT VINCENT AND THE GRENADINES;390
VEN;VENEZUELA;882050
VGB;VIRGIN ISLANDS (BRITISH);150
VIR;VIRGIN ISLANDS (U.S.);350
VNM;VIET NAM;310070
VUT;VANUATU;12190
WSM;SAMOA;2830
YEM;YEMEN;527970
ZAF;SOUTH AFRICA;1213090
ZMB;ZAMBIA;743390
ZWE;ZIMBABWE;386850
