"","x","y","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","z.9","z.10","z.11","z.12","z.13","z.14","z.15","z.16","z.17","z.18","z.19","z.20","z.21","z.22","z.23","z.24","z.25","z.26","z.27","z.28","z.29","z.30","z.31","z.32","z.33","z.34","z.35","z.36","z.37","z.38","z.39","z.40","z.41","z.42","z.43","z.44","z.45","z.46","z.47","z.48","z.49","z.50","z.51","z.52","z.53","z.54","z.55","z.56","z.57","z.58","z.59","z.60","z.61","z.62","z.63","z.64","z.65","z.66","z.67","z.68","z.69","z.70","z.71","z.72","z.73","z.74","z.75","z.76","z.77","z.78","z.79","z.80","z.81","z.82","z.83","z.84","z.85","z.86","z.87","z.88","z.89","z.90","z.91","z.92","z.93","z.94","z.95","z.96","z.97","z.98","z.99","z.100"
"1",-12,-10,0,0,0,2.96439387504748e-323,6.39021150913878e-313,5.75133102432669e-303,2.1972474827104e-293,3.99548331414111e-284,4.94145600957226e-275,5.57447214257511e-266,4.691166638833e-257,2.52528524381147e-248,7.5667964048518e-240,1.06617511949409e-231,6.4196287161073e-224,1.5938849627229e-216,1.61340850520486e-209,6.63565720764805e-203,1.10772741958847e-196,7.503466452638e-191,2.06226444767865e-185,2.30003557728071e-180,1.04179438622885e-175,1.92470612174402e-171,1.48337806618968e-167,5.29273330885009e-164,1.18288709106833e-160,2.04157004761985e-157,2.19282901120988e-154,1.5367116432969e-151,9.31421513498065e-149,3.6336143079821e-146,6.46640127798636e-144,4.76991691023151e-142,1.44061572697561e-140,1.86388898211794e-139,1.47172205826234e-138,1.44597733657568e-137,1.09976104490071e-136,3.76950921112608e-136,5.30174436267231e-136,3.03015801878784e-136,7.03370327740864e-137,6.63738299413303e-138,2.55241262952145e-139,4.02114957116231e-141,2.62463718065321e-143,7.25616227122873e-146,8.8218292475236e-149,4.9446657533498e-152,1.31767481316442e-155,1.6503488749324e-159,9.31089093793682e-164,2.26954982784337e-168,2.33092829213882e-173,9.99976794195144e-179,1.79920621601455e-184,1.37727524082123e-190,4.58311828204584e-197,6.77314449563272e-204,4.48998194887147e-211,1.32439676898134e-218,1.7017909593854e-226,9.30448659800022e-235,2.12448146400084e-243,2.0008077838806e-252,7.71493600155615e-262,1.2128787672233e-271,7.75651162595464e-282,2.01532194369934e-292,2.12601304285459e-303,9.10289174104492e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-11.8080808080808,-9.7979797979798,0,0,0,1.26306031806794e-313,2.70298870980359e-303,2.39017557997679e-293,8.80372185963194e-284,1.40941117910005e-274,1.17927238455675e-265,7.80415193376305e-257,4.52392778442071e-248,1.81855373940215e-239,4.50643176061391e-231,5.85128806312679e-223,3.42729209523086e-215,8.43738593733959e-208,8.51902636353748e-201,3.50107067118134e-194,5.84321719191943e-188,3.95777285497566e-182,1.08772260177622e-176,1.21302844205661e-171,5.49201337867603e-167,1.01233416626488e-162,7.71059649583786e-159,2.60804514411709e-155,5.02863448028435e-152,7.44915030613769e-149,7.33098369445805e-146,4.47391296941387e-143,2.29972880646838e-140,8.43589012641807e-138,1.48322411308638e-135,1.09183369577895e-133,3.29373488704557e-132,4.22328788366179e-131,3.14452932473002e-130,2.83478547518264e-129,2.1102693885823e-128,7.2149402430207e-128,1.0145412084475e-127,5.79928526824848e-128,1.3466805061298e-128,1.2719444103451e-129,4.90106005648432e-131,7.75501772581062e-133,5.10849756548819e-135,1.43804475995073e-137,1.80344483335517e-140,1.05511456634057e-143,2.93941832533418e-147,3.81113066499907e-151,2.19869240234694e-155,5.43758182022666e-160,5.65415409837644e-165,2.46327978592505e-170,4.53607969344899e-176,3.59614613724763e-182,1.25528336793968e-188,1.9609998345298e-195,1.37105429266732e-202,4.21945793575587e-210,5.58178317283483e-218,3.10698765628722e-226,7.16774544250189e-235,6.78919058508662e-244,2.62597421401478e-253,4.13519445202209e-263,2.64684337447958e-273,6.88033233352723e-284,7.2600303085757e-295,3.10891419287666e-306,5.40211871228465e-318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-11.6161616161616,-9.5959595959596,0,0,5.83644084834569e-315,2.97958854497241e-304,6.28268528882309e-294,5.47087118119853e-284,1.97207028896392e-274,2.98702923060973e-265,2.04677262596867e-256,8.34219293276678e-248,2.98294873975388e-239,8.57084763755727e-231,1.62905677049526e-222,1.82245352858103e-214,1.00765023314103e-206,2.43484374032984e-199,2.44452113241938e-192,1.00293033241149e-185,1.6730298286954e-179,1.1330183510252e-173,3.11372844871162e-168,3.47220350003583e-163,1.57160297093327e-158,2.89259983995271e-154,2.18609054032851e-150,7.12369200037581e-147,1.21430700206926e-143,1.52090634392089e-140,1.35736036321901e-137,7.35382863429982e-135,3.17036724330001e-132,1.07026768163795e-129,1.84864174246236e-127,1.35668293020451e-125,4.08794042000288e-124,5.20210793653905e-123,3.67427888354611e-122,3.028834527664e-121,2.19901642516246e-120,7.49561465098246e-120,1.0537203726043e-119,6.02424780506025e-120,1.39961044494147e-120,1.32342408731297e-121,5.11213429373191e-123,8.1327546393912e-125,5.41768211752961e-127,1.5580224840682e-129,2.0232612851127e-132,1.23784317751223e-135,3.59880895449018e-139,4.81425742044918e-143,2.83364615126062e-147,7.10821252843185e-152,7.49721408694576e-157,3.33060234043817e-162,6.31722503410842e-168,5.22524929792443e-174,1.92352758596521e-180,3.17665682695403e-187,2.33010632908889e-194,7.42611398212658e-202,1.00469335337885e-209,5.667181768949e-218,1.31720205930142e-226,1.25273495959705e-235,4.85606303797758e-245,7.65592742892443e-255,4.90342782311095e-265,1.27503987522792e-275,1.34563821520717e-286,5.76286614087258e-298,1.00141667736582e-309,7.06513873552983e-322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",-11.4242424242424,-9.39393939393939,0,6.32082834600434e-317,7.68943046745099e-306,3.86499338849715e-295,8.02648458001615e-285,6.8850606220074e-275,2.44055203318172e-265,3.59277868190624e-256,2.25643512188215e-247,6.84030837997473e-239,1.43651277647381e-230,2.71599582881785e-222,3.7746005377376e-214,3.35443830502507e-206,1.65857111891633e-198,3.85101546210499e-191,3.81824980998009e-184,1.5606487633086e-177,2.60046351315887e-171,1.76051092051874e-165,4.83767524372971e-160,5.39428113393672e-155,2.44111634042933e-150,4.4886042674105e-146,3.3749428406153e-142,1.07214481473342e-138,1.65905062309528e-135,1.74914213061658e-132,1.39147169523654e-129,6.79518123968845e-127,2.45553795388147e-124,7.44267349304668e-122,1.25272257629132e-119,9.15204632885331e-118,2.75417837456928e-116,3.48261929959584e-115,2.34698282568526e-114,1.76474631688635e-113,1.24459602736028e-112,4.22687994230737e-112,5.94007667669618e-112,3.39672186378911e-112,7.89645439562234e-113,7.47711128380835e-114,2.89722622189926e-115,4.63988675483941e-117,3.13311897996051e-119,9.23832223986089e-122,1.24675712601929e-124,7.98349612290829e-128,2.41633286924928e-131,3.32466073323959e-135,1.99337985823754e-139,5.07518763879911e-144,5.44564370944337e-149,2.48010400781357e-154,4.88001955151496e-160,4.23974597936136e-166,1.65036306244942e-172,2.87219364818537e-179,2.19495141597785e-186,7.19191569018542e-194,9.89609413636328e-202,5.63647425997342e-210,1.31709687158634e-218,1.25626778993365e-227,4.87730752219193e-237,7.69575755269094e-247,4.93109048165743e-257,1.28252926143046e-267,1.35370760286871e-278,5.79779845593213e-290,1.00752123335908e-301,7.10368101691518e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-11.2323232323232,-9.19191919191919,1.6015137909944e-319,4.65038792579647e-308,5.57220030138067e-297,2.75757592757308e-286,5.63846869131734e-276,4.76335891360645e-266,1.66247434767488e-256,2.40056340168942e-247,1.44776733297445e-238,3.82316501448958e-230,5.37281594299027e-222,6.03117851358674e-214,5.812424733287e-206,3.85443110863523e-198,1.57681727282068e-190,3.37665497124397e-183,3.25811424027918e-176,1.32061352105911e-169,2.19499648843265e-163,1.48490244797861e-157,4.07941528057726e-152,4.54837791073136e-147,2.05802902207569e-142,3.78178662528087e-138,2.83396270398433e-134,8.85024904170287e-131,1.27408916653027e-127,1.13965528916025e-124,7.91312674739019e-122,3.51206929945543e-119,1.07377771149736e-116,2.84836256113921e-114,4.61942670197249e-112,3.35227219990394e-110,1.00728638100292e-108,1.26690974073352e-107,8.19167871907152e-107,5.61062600530806e-106,3.82656406663034e-105,1.29385447079467e-104,1.81751340897126e-104,1.03958034768662e-104,2.4186041016967e-105,2.29418027574095e-106,8.92374171460055e-108,1.44086320379266e-109,9.88957349931568e-112,3.00137860230092e-114,4.22258242359913e-117,2.82965473488047e-120,8.89041873371975e-124,1.25477705112204e-127,7.65815919502583e-132,1.98225585891967e-136,2.17281886552279e-141,1.02104916639909e-146,2.09949320538666e-152,1.92525766877304e-158,7.91984158869924e-165,1.44422102299891e-171,1.14128651977617e-178,3.81996569796516e-186,5.32238699525893e-194,3.05273759980847e-202,7.16071691455669e-211,6.8440158315463e-220,2.66000962964441e-229,4.19958262845242e-239,2.69172681887423e-249,7.00205894439399e-260,7.39129593181435e-271,3.16576383228488e-282,5.50148584450373e-294,3.8789549292937e-306,1.10962697465131e-318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-11.040404040404,-8.98989898989899,6.5615820300343e-311,1.87999586081626e-299,2.22031005539972e-288,1.08219396982349e-277,2.17861762707587e-267,1.81213752101579e-257,6.22786544307105e-248,8.84625260524722e-239,5.20984704860865e-230,1.29416824613547e-221,1.46995183615348e-213,1.01308961582835e-205,6.10617848405781e-198,2.90091836478461e-190,9.09565701793356e-183,1.67945201012258e-175,1.53071741721431e-168,6.09156848893073e-162,1.00685427439531e-155,6.79998479059585e-150,1.86720415390546e-144,2.08151806697033e-139,9.41721715553996e-135,1.72975024234794e-130,1.29338020001288e-126,3.99346558316801e-123,5.45884251346711e-120,4.22002095971768e-117,2.50667250622109e-114,1.01082442639865e-111,2.65742131339342e-109,6.03017055495227e-107,9.28110689521037e-105,6.66862999039147e-103,1.99984451575333e-101,2.50396035988632e-100,1.56150911097141e-99,9.7396713347205e-99,6.39230178397191e-98,2.14992129790772e-97,3.01850691341143e-97,1.72707925303598e-97,4.02195093791187e-98,3.82338728767567e-99,1.49430229006598e-100,2.43701177817395e-102,1.70550937572182e-104,5.34849549440368e-107,7.86354233342075e-110,5.50885151514626e-113,1.79133277902672e-116,2.58816522376454e-120,1.60835612653682e-124,4.24454068994744e-129,4.77874958842184e-134,2.3337718024159e-139,5.04690015452484e-145,4.89487067651435e-151,2.11997391316245e-157,4.0218234718315e-164,3.26315781129733e-171,1.10977819948337e-178,1.56039930327169e-186,8.9948761055253e-195,2.11562025482094e-203,2.02497888734403e-212,7.87637939489258e-222,1.24401751753582e-231,7.97526206032883e-242,2.07486206323087e-252,2.19033330342516e-263,9.38170864866494e-275,1.6303870768794e-286,1.1495538260706e-298,3.28846994434503e-311,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-10.8484848484848,-8.78787878787879,1.47428371817307e-302,4.17275810505105e-291,4.86193360441718e-280,2.3354545738941e-269,4.63034349392274e-259,3.79191997556392e-249,1.28306367107332e-239,1.79405131482206e-230,1.03762745356641e-221,2.49757047575923e-213,2.57883670923942e-205,1.30430026682676e-197,4.64664039469918e-190,1.46807218576447e-182,3.36454858960013e-175,4.93375101968357e-168,4.02463139396748e-161,1.53979290272627e-154,2.51389693233997e-148,1.69152129003551e-142,4.63959783707469e-137,5.17037048774223e-132,2.33883529250876e-127,4.29468312644188e-123,3.20662606647004e-119,9.82679087581091e-116,1.29569775473039e-112,8.87525922599976e-110,4.4486821654235e-107,1.61546403270392e-104,3.71979862980105e-102,7.1052452116192e-100,1.01783846943713e-97,7.20696594065188e-96,2.15546273438467e-94,2.68839779410081e-93,1.62479249440593e-92,9.2377513516535e-92,5.80336045827013e-91,1.93934593014949e-90,2.72112548291882e-90,1.55754900200146e-90,3.63151237342717e-91,3.46162793810662e-92,1.36091179683069e-93,2.24663635540198e-95,1.60872356889047e-97,5.2330968371835e-100,8.05316132736147e-103,5.88727988393897e-106,1.97577576977904e-109,2.91884377822266e-113,1.8494557189927e-117,4.9969605010694e-122,5.81617316052083e-127,2.97308325329646e-132,6.79148779933426e-138,6.95782616897081e-144,3.15339390092315e-150,6.17722989308445e-157,5.11401801841237e-164,1.75981107541899e-171,2.49065661099699e-179,1.44086319643249e-187,3.39544462706062e-196,3.25328580082826e-205,1.26608608248528e-214,2.00026458951005e-224,1.28254219990751e-234,3.33695752259495e-245,3.52281641888535e-256,1.50893816609929e-267,2.62231794802629e-279,1.84895626803815e-291,5.28923220271526e-304,6.13877800121863e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-10.6565656565657,-8.58585858585859,1.81472264595759e-294,5.08015871601218e-283,5.84623939383575e-272,2.77014089871287e-261,5.41213274035812e-251,4.36471652754013e-241,1.45401312451008e-231,2.00146373773106e-222,1.13881315037841e-213,2.6841198751709e-205,2.64987223393475e-197,1.15464952174991e-189,2.72707634716791e-182,5.18118588688583e-175,8.28010496487917e-168,9.04861285478256e-161,6.10879901993363e-154,2.15717509780766e-147,3.42862527742061e-141,2.28808364842518e-135,6.26040378418086e-130,6.97142517797324e-125,3.15275412699082e-120,5.78784924368451e-116,4.31738132206743e-112,1.31655806120031e-108,1.69380349248595e-105,1.05562191694363e-102,4.45180448411483e-100,1.43254359444788e-97,2.9356237370493e-95,4.6897258441384e-93,6.10856912354864e-91,4.23349058147489e-89,1.26129894169748e-87,1.56782917891627e-86,9.22370333734158e-86,4.79023229734643e-85,2.86421399381048e-84,9.49760977768253e-84,1.33156768608069e-83,7.62553684221541e-84,1.78059927389313e-84,1.70305130952996e-85,6.74420130655456e-87,1.12984320191377e-88,8.30916549876326e-91,2.81363587136365e-93,4.53507860487539e-96,3.4518027001757e-99,1.19279644896574e-102,1.80149194415084e-106,1.16700657021254e-110,3.24570254353245e-115,3.93359115926575e-120,2.11743329799075e-125,5.11632752797671e-131,5.51305511211606e-137,2.59560124064896e-143,5.21367327169675e-150,4.38177983913307e-157,1.5207705388433e-164,2.16246174956972e-172,1.25416842606818e-180,2.95948705384484e-189,2.8376164214167e-198,1.10473935994787e-207,1.74570714044021e-217,1.11944246264085e-227,2.91276324921366e-238,3.07508699494155e-249,1.31718156822628e-260,2.28909145296871e-272,1.6140104202707e-284,4.61714305985948e-297,5.3587455875005e-310,2.47032822920623e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-10.4646464646465,-8.38383838383838,1.22251787591372e-286,3.38908191655794e-275,3.85672896153883e-264,1.80459072585702e-253,3.47731235679726e-243,2.76319491876432e-233,9.06442007390744e-224,1.22833824684376e-214,6.87882791646465e-206,1.59322768239967e-197,1.5324109644324e-189,6.24229875841224e-182,1.17598476146737e-174,1.37034051561452e-167,1.38809633397161e-160,1.08820788344611e-153,5.62432069536151e-147,1.71352498720264e-140,2.57418414662029e-134,1.68703706636335e-128,4.59058394368164e-123,5.10354599642604e-118,2.30684555345486e-113,4.2338221157095e-109,3.15611295989901e-105,9.59321563869472e-102,1.21401908715248e-98,7.05302356086275e-96,2.52568478565003e-93,7.05998969656132e-91,1.3002127646596e-88,1.744005452251e-86,2.01330499508273e-84,1.35265974782431e-82,4.007564184989e-81,4.96604379453028e-80,2.85526385770952e-79,1.35887205216741e-78,7.68763721503548e-78,2.52545220077484e-77,3.53718070679607e-77,2.02688230933451e-77,4.74169757833697e-78,4.55426098531015e-79,1.81965951887341e-80,3.10264919458357e-82,2.3527972332999e-84,8.31835899572256e-87,1.40398167480081e-89,1.10987127699142e-92,3.9428339375652e-96,6.09437073970131e-100,4.05262532764806e-104,1.16780459907759e-108,1.4839282614906e-113,8.44364966799458e-119,2.15393041275056e-124,2.42547009120343e-130,1.17746385314259e-136,2.41065098355647e-143,2.04852558849599e-150,7.15357230922005e-158,1.02060225048894e-165,5.92980619913539e-174,1.40060099610109e-182,1.34360275385142e-191,5.23230496474911e-201,8.26924684646201e-211,5.30308713205178e-221,1.37990535184694e-231,1.45683566689869e-242,6.24027288640494e-254,1.08448513655192e-265,7.64659568377925e-278,2.18743838130548e-290,2.53878549023054e-303,1.19546895376021e-316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-10.2727272727273,-8.18181818181818,4.50298652112088e-279,1.2376615835294e-267,1.39447062320285e-256,6.45089226496916e-246,1.22727227690207e-235,9.61709881122224e-226,3.10819904812638e-216,4.14737749358028e-207,2.28624267477412e-198,5.20940469757946e-190,4.91418972067632e-182,1.93339370213402e-174,3.28236851535471e-167,2.77172034419974e-160,1.67287626202199e-153,8.80552227504713e-147,3.32305028439494e-140,8.03604204470599e-134,1.08123683877086e-127,6.81563265441429e-122,1.83217799541198e-116,2.02945620644074e-111,9.16315058915829e-107,1.68106561378621e-102,1.25253521055617e-98,3.79902860681786e-95,4.75525547736964e-92,2.62737947503727e-89,8.14613116446737e-87,1.94114249876313e-84,3.21740354559832e-82,3.66830121442094e-80,3.66097008507831e-78,2.35333113608267e-76,6.91525322902032e-75,8.54298806980171e-74,4.81741376912618e-73,2.10993388873944e-72,1.12262196292492e-71,3.64653681847163e-71,5.1010259778723e-71,2.92518881300284e-71,6.85908741014132e-72,6.62226977892382e-73,2.67488326320353e-74,4.6573641216765e-76,3.65634784814213e-78,1.35285611902389e-80,2.3886526586715e-83,1.95674298054572e-86,7.14237828617993e-90,1.13258618756151e-93,7.77284508815372e-98,2.33703964206391e-102,3.13119789510852e-107,1.88463129828885e-112,5.05110571140665e-118,5.90007066756046e-124,2.93327380773418e-130,6.09117609305701e-137,5.21780722313417e-144,1.83010336685824e-151,2.61719249762976e-159,1.52253554234224e-167,3.59858923998017e-176,3.45336764336523e-185,1.34507493588856e-194,2.12599610777061e-204,1.36347767554487e-214,3.54797532244064e-225,3.74583123872416e-236,1.60451794006283e-247,2.78847253330837e-259,1.96612818818266e-271,5.62444953519535e-284,6.52785448557133e-297,3.07385156512958e-310,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
