<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Burundi","-3.5","30","Present","-","Introduced","-","-","-","-"
"Ethiopia","8","38","Present","-","Introduced","-","-","-","-"
"Kenya","1","38","Present","-","Introduced","-","-","-","-"
"Lesotho","-29.5","28.25","Present","-","Introduced","-","-","-","-"
"Madagascar","-20","47","Present","-","Introduced","-","-","Weber  (2003)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","-","-","-"
"Mozambique","-18.25","35","Present","-","Introduced","-","-","-","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","-","-","-"
"Rwanda","-2","30","Present","-","Introduced","-","-","-","-"
"South Africa","-29","24","Present","-","Introduced","-","Invasive","Cronk and Fuller  (1995); Henderson  (2001)","-"
"Swaziland","-26.5","31.5","Present","-","Introduced","-","-","-","-"
"Tanzania","-6","35","Present","-","Introduced","-","-","-","-"
"Uganda","2","33","Present","-","Introduced","-","-","-","-"
"Zambia","-15","30","Present","-","Introduced","-","-","-","-"
"Zimbabwe","-19","29","Present","-","Introduced","-","-","-","-"
"China","35","105","Present","-","Introduced","-","-","Pan and Yang (1987)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","-","-","-","-"
"Guangdong Sheng","23","113","Present","-","Introduced","-","-","-","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Introduced","-","-","-","-"
"Hunan Sheng","28","112","Present","-","Introduced","-","-","-","-"
"Sichuan Sheng","30.5","102.5","Present","-","Introduced","-","-","-","-"
"Yunnan Sheng","25","102","Present","-","Introduced","-","-","-","-"
"Zhejiang Sheng","29","120","Present","-","Introduced","-","-","-","-"
"India","20","77","Present","-","Introduced","-","Invasive","Mathew, 1965","-"
"State of Himachal Pradesh","31","78","Present","-","Introduced","-","-","-","-"
"State of Jammu and Kashmir","33.91667","76.66667","Present","-","Introduced","-","-","-","-"
"State of Kerala","10","76.5","Present","-","Introduced","-","-","-","-"
"State of Tamil Nadu","11","78","Present","-","Introduced","-","-","-","-"
"State of Uttar Pradesh","27.25","80.75","Present","-","Introduced","-","-","-","-"
"State of West Bengal","24","88","Present","-","Introduced","-","-","-","-"
"Indonesia","-5","120","Present","-","-","-","-","-","Present based on regional distribution."
"Java","-7.49167","110.00444","Present","-","Introduced","-","-","-","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","-","-","-"
"Nepal","28","84","Present","-","Introduced","-","-","-","-"
"Sri Lanka","7","81","Present","-","Introduced","-","Invasive","Midgley and Vivekanandan (1987)","-"
"Costa Rica","10","-84","Present","-","Introduced","-","-","-","-"
"Guatemala","15.5","-90.25","Present","-","Introduced","-","-","-","-"
"Croatia","45.16667","15.5","Present","-","-","-","-","EPPO (2014)","-"
"Cyprus","35","33","Present","-","Introduced","-","-","-","-"
"France","46","2","Restricted distribution","-","Introduced","-","Invasive","Delabraze and Valette (1979); EPPO (2014)","-"
"Region Corse","42","9","Present, few occurrences","-","Introduced","-","-","EPPO (2014)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","EPPO (2014)","-"
"Regione Autonoma della Sardegna","40","9","Present","-","-","-","-","EPPO (2014)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","Invasive","EPPO (2014); Marchante and Marchante  (2003)","-"
"Regiao Autonoma dos Acores","38.5","-28","Present","-","Introduced","-","-","Weber  (2003); EPPO (2014)","-"
"Romania","46","25","Present","-","Introduced","-","-","EPPO (2014)","-"
"Spain","40","-4","Present","-","Introduced","-","-","Dana and et al.  (2003); EPPO (2014)","-"
"Serbia","44.81892","20.45998","Present","-","Introduced","-","-","-","-"
"United States","39.76","-98.5","Present","-","Introduced","-","-","-","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","-","California Invasive Plant Council (Cal-IPC) (2003)","-"
"Australia","-25","135","Restricted distribution","-","Native","-","-","Boland et al. (1984); EPPO (2014)","-"
"State of New South Wales","-33","146","Present","-","Native","-","-","-","-"
"State of Queensland","-20","145","Present","-","Introduced","-","-","Ryan et al. (1987)","-"
"State of South Australia","-30","135","Present","-","Introduced","-","-","-","-"
"State of Tasmania","-42","147","Present","-","Native","-","-","Kube et al. (1996)","-"
"State of Victoria","-37","145","Present","-","Native","-","-","Bird et al. (1998)","-"
"State of Western Australia","-25","122","Present","-","Introduced","-","-","-","-"
"New Caledonia","-21.5","165.5","Present","-","Introduced","-","-","-","-"
"New Zealand","-42","174","Present","-","Introduced","-","Invasive","Pollock et al., 1985; Weber  (2003)","-"
"Argentina","-34","-64","Present","-","Introduced","-","Invasive","Zalba  (1995)","-"
"Chile","-30","-71","Present","-","Introduced","-","Invasive","Montenegro and et al.  (1991)","-"
