<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","Introduced","-","-","-","-"
"Comoros","-11.636","43.338","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Egypt","27","30","Present","-","Introduced","-","-","-","-"
"Ethiopia","8","38","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Ghana","8.1","-1.2","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Libya","28","17","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Morocco","32","-5","Present","-","Introduced","-","-","-","-"
"Mozambique","-18.25","35","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Seychelles","-4.682","55.483","Present","-","Introduced","-","-","ILDIS (2002)","-"
"South Africa","-29","24","Present","-","Introduced","-","No","ILDIS (2002)","-"
"Sudan","16","30","Present","-","Introduced","-","-","-","-"
"Tanzania","-6","35","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Zanzibar Island","-6.16667","39.33333","Present","-","Introduced","-","-","-","-"
"Togo","8","1.16667","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Uganda","2","33","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Zimbabwe","-19","29","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Afghanistan","33","66","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Bhutan","27.5","90.5","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Cambodia","13","105","Present","-","Introduced","-","-","ILDIS (2002)","-"
"China","35","105","Present","-","Introduced","-","-","ILDIS (2002)","-"
"India","20","77","Widespread","-","Introduced","-","-","ILDIS (2002)","-"
"State of Karnataka","13.5","76","Present","-","-","-","-","-","-"
"State of Maharashtra","19.5","75","Present","-","-","-","-","-","-"
"State of Uttar Pradesh","27.25","80.75","Present","-","-","-","-","-","-"
"Indonesia","-5","120","Present","-","Introduced","-","Invasive","Holm et al. (1991); ILDIS (2002)","-"
"Java","-7.49167","110.00444","Present","-","-","-","-","-","-"
"Iran","32","53","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Iraq","33","44","Present","-","Introduced","-","Invasive","Holm et al. (1991); ILDIS (2002)","-"
"Israel","31.5","34.75","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Ryukyu Islands","26.5","128","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Kuwait","29.5","47.75","Present","-","Introduced","-","-","-","-"
"Laos","18","105","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Lebanon","33.83333","35.83333","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Malaysia","2.5","112.5","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Maldives","4.189","73.502","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Pakistan","30","70","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Philippines","12.38","123.45","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Saudi Arabia","25","45","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Sri Lanka","7","81","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Syria","35","38","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Taiwan","24","121","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Thailand","15","100","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Vietnam","16.16667","107.83333","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Antigua and Barbuda","17.05","-61.8","Present","-","-","-","-","ILDIS (2002)","-"
"Bahamas","24.636","-78.055","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Barbados","13.16667","-59.53333","Present","-","-","-","-","ILDIS (2002)","-"
"Belize","17.25","-88.75","Present","-","Native","-","-","ILDIS (2002)","-"
"Cayman Islands","19.319","-81.24","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Costa Rica","10","-84","Present","-","Native","-","-","ILDIS (2002)","-"
"Cuba","22","-79.5","Present","-","Introduced","-","Invasive","Oviedo Prieto et al. (2012); ILDIS (2002)","-"
"Dominica","15.5","-61.33333","Present","-","-","-","-","ILDIS (2002)","-"
"Dominican Republic","19","-70.66667","Present","-","Native","-","-","ILDIS (2002)","-"
"El Salvador","13.83333","-88.91667","Present","-","Native","-","-","ILDIS (2002)","-"
"Grenada","12.11667","-61.66667","Present","-","-","-","-","ILDIS (2002)","-"
"Guadeloupe","16.25","-61.58333","Present","-","-","-","-","ILDIS (2002)","-"
"Guatemala","15.5","-90.25","Present","-","Native","-","-","ILDIS (2002)","-"
"Haiti","19","-72.41667","Present","-","Native","-","-","ILDIS (2002)","-"
"Honduras","15","-86.5","Present","-","Native","-","-","ILDIS (2002)","-"
"Jamaica","18.25","-77.5","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Martinique","14.66667","-61","Present","-","-","-","-","-","-"
"Montserrat","16.75","-62.2","Present","-","-","-","-","-","-"
"Netherlands Antilles","12.209838","-68.262836","Present","-","Native","-","-","ILDIS (2002)","-"
"Nicaragua","13","-85","Present","-","Native","-","-","ILDIS (2002)","-"
"Panama","9","-80","Present","-","Native","-","-","ILDIS (2002)","-"
"Puerto Rico","18.24829","-66.49989","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Saint Kitts and Nevis","17.33333","-62.75","Present","-","Native","-","-","ILDIS (2002)","-"
"Saint Lucia","13.88333","-60.96667","Present","-","Native","-","-","ILDIS (2002)","-"
"Saint Vincent and the Grenadines","13.252","-61.188","Present","-","Native","-","-","ILDIS (2002)","-"
"France","46","2","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Spain","40","-4","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Mexico","23","-102","Present","-","Native","-","Invasive","Holm et al. (1991); ILDIS (2002)","-"
"United States","39.76","-98.5","Present","-","-","-","-","-","-"
"Alabama","32.75041","-86.75026","Present","-","-","-","-","USDA-NRCS (2002)","-"
"Arizona","34.5003","-111.50098","Present","-","Native","-","Invasive","USDA-NRCS (2002)","-"
"California","37.25022","-119.75126","Present","-","Native","-","Invasive","USDA-NRCS (2002)","-"
"Florida","28.75054","-82.5001","Widespread","-","-","-","Invasive","USDA-NRCS (2002)","-"
"Georgia","32.75042","-83.50018","Present","-","-","-","-","USDA-NRCS (2002)","-"
"Hawaii","20.75028","-156.50028","Widespread","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Louisiana","31.00047","-92.0004","Present","-","-","-","-","USDA-NRCS (2002)","-"
"Mississippi","32.75041","-89.75036","Present","-","-","-","-","USDA-NRCS (2002)","-"
"New Mexico","34.50034","-106.00085","Present","-","Native","-","Invasive","USDA-NRCS (2002)","-"
"Texas","31.25044","-99.25061","Widespread","-","Native","-","Invasive","USDA-NRCS (2002)","-"
"Australia","-25","135","Widespread","-","Introduced","-","Invasive","Holm et al. (1991)","-"
"State of New South Wales","-33","146","Present","-","Introduced","-","Invasive","-","-"
"State of Queensland","-20","145","Present","-","Introduced","-","Invasive","Anon. (2003); Kleinschmidt and Johnson (1977)","-"
"State of South Australia","-30","135","Present","-","Introduced","-","Invasive","-","-"
"Cook Islands","-21.217","-159.787","Present","-","Introduced","-","-","PIER (2004)","-"
"Fiji","-18","178","Present","-","Introduced","-","Invasive","Holm et al. (1991); ILDIS (2002)","-"
"French Polynesia","-15","-140","Present","-","Introduced","-","Invasive","ILDIS (2002); PIER (2004)","-"
"Guam","13.481","144.7315","Present","-","Introduced","-","-","PIER (2004)","-"
"Kiribati","1.851","-157.395","Present","-","Introduced","-","-","PIER (2004)","-"
"Nauru","-0.517","166.933","Present","-","Introduced","-","-","ILDIS (2002)","-"
"New Caledonia","-21.5","165.5","Present","-","Introduced","-","Invasive","PIER (2004)","-"
"Northern Mariana Islands","15.214","145.756","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Palau","7.503","134.621","Present","-","Introduced","-","-","PIER (2004)","-"
"Solomon Islands","-8","159","Present","-","Introduced","-","Invasive","PIER (2004)","-"
"Vanuatu","-15.36","166.9","Present","-","Introduced","-","Invasive","PIER (2004)","-"
"Argentina","-34","-64","Present","-","Introduced","-","-","ILDIS (2002)","-"
"Bolivia","-17","-65","Present","-","Native","-","-","ILDIS (2002)","-"
"Brazil","-10","-55","Present","-","Native","-","-","ILDIS (2002)","-"
"Colombia","4","-72","Present","-","Native","-","-","ILDIS (2002)","-"
"Ecuador","-2","-77.5","Present","-","Native","-","-","ILDIS (2002)","-"
"French Guiana","4","-53","Present","-","Native","-","-","ILDIS (2002)","-"
"Guyana","5","-59","Present","-","Native","-","-","ILDIS (2002)","-"
"Paraguay","-22.99333","-57.99639","Present","-","Native","-","Invasive","Holm et al. (1991)","-"
"Peru","-10","-76","Present","-","Native","-","-","ILDIS (2002)","-"
"Suriname","4","-56","Present","-","Native","-","-","ILDIS (2002)","-"
"Venezuela","8","-66","Present","-","Native","-","-","ILDIS (2002)","-"
