<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","Introduced","-","No","El-Lakany (1988)","-"
"Botswana","-22","24","Present","-","Introduced","-","-","CABI (2005)","-"
"Burundi","-3.5","30","Present","-","Introduced","-","-","CABI (2005)","-"
"Chad","15","19","Present","-","Introduced","-","-","CABI (2005)","-"
"Egypt","27","30","Present","-","Introduced","-","No","El-Lakany (1988)","-"
"Ethiopia","8","38","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Gambia","13.5","-15.5","Present","-","Introduced","-","-","CABI (2005)","-"
"Kenya","1","38","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Libya","28","17","Present","-","Introduced","-","No","ILDIS (2007)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Morocco","32","-5","Present","-","Introduced","-","No","El-Lakany (1988)","-"
"Mozambique","-18.25","35","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Namibia","-22","17","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Niger","18","9","Present","-","Introduced","-","-","CABI (2005)","-"
"Senegal","14","-14","Present","-","Introduced","-","-","CABI (2005)","-"
"Somalia","6","48","Present","-","Introduced","-","-","CABI (2005)","-"
"South Africa","-29","24","Present","-","Introduced","1833","Invasive","Cronk and Fuller (1995); ILDIS (2007)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","-","Le Houérou (2002)","-"
"Sudan","16","30","Present","-","Introduced","-","-","CABI (2005)","-"
"Tanzania","-6","35","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Tunisia","34","9","Present","-","Introduced","-","No","El-Lakany (1988)","-"
"Uganda","2","33","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Zambia","-15","30","Present","-","Introduced","-","-","ILDIS (2007)","-"
"India","20","77","Present","-","Introduced","-","-","ILDIS (2007)","-"
"State of Gujarat","23","72","Present","-","-","-","-","CABI (2005)","-"
"State of Haryana","29","76","Present","-","-","-","-","CABI (2005)","-"
"State of Karnataka","13.5","76","Present","-","-","-","-","CABI (2005)","-"
"State of Maharashtra","19.5","75","Present","-","-","-","-","CABI (2005)","-"
"State of Rajasthan","26","74","Present","-","-","-","-","CABI (2005)","-"
"State of Tamil Nadu","11","78","Present","-","-","-","-","CABI (2005)","-"
"State of Uttar Pradesh","27.25","80.75","Present","-","-","-","-","CABI (2005)","-"
"Iran","32","53","Present","-","Introduced","-","-","Dommergues et al. (1999)","-"
"Iraq","33","44","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Israel","31.5","34.75","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Jordan","31","36","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Kuwait","29.5","47.75","Present","-","Introduced","-","-","CABI (2005)","-"
"Pakistan","30","70","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Saudi Arabia","25","45","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Syria","35","38","Present","-","Introduced","-","-","Dommergues et al. (1999)","-"
"Turkey","39.05901","34.91155","Present","-","Introduced","-","-","Karaca et al. (1999)","-"
"Yemen","15.5","47.5","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Cyprus","35","33","Present","-","Introduced","-","Invasive","Hadjikyriakou and Hadjisterkotis (2005); ILDIS (2007)","-"
"France","46","2","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Greece","39","22","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","Invasive","ILDIS (2007); Marchante and Marchante (2005)","-"
"Spain","40","-4","Present","-","Introduced","-","Invasive","ILDIS (2007); Sanz-Elorza et al. (2001)","-"
"Mexico","23","-102","Present","-","Introduced","-","-","Dommergues et al. (1999)","-"
"United States","39.76","-98.5","Localised","-","Introduced","-","-","ILDIS (2007)","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","-","ILDIS (2007); USDA-NRCS (2007)","-"
"Australia","-25","135","Present","-","-","-","-","-","Present based on regional distribution."
"State of New South Wales","-33","146","Present","-","Introduced","-","Invasive","ILDIS (2007)","-"
"State of Queensland","-20","145","Present","-","Introduced","-","Invasive","ILDIS (2007)","-"
"State of South Australia","-30","135","Present","-","Introduced","-","-","ILDIS (2007)","-"
"State of Tasmania","-42","147","Present","-","Introduced","-","-","ILDIS (2007)","-"
"State of Victoria","-37","145","Present","-","Introduced","-","-","ILDIS (2007)","-"
"State of Western Australia","-25","122","Present","-","Native","-","No","ILDIS (2007)","-"
"New Zealand","-42","174","Present","-","Introduced","-","-","ILDIS (2007)","North Island"
"Argentina","-34","-64","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Bolivia","-17","-65","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Chile","-30","-71","Present","-","Introduced","-","Invasive","ILDIS (2007)","-"
"Peru","-10","-76","Present","-","Introduced","-","-","Coates (2005)","-"
"Uruguay","-33","-56","Present","-","Introduced","-","-","Dommergues et al. (1999)","-"
