<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Botswana","-22","24","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Chad","15","19","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Eritrea","15","39","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Ethiopia","8","38","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Guinea","11","-10","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Kenya","1","38","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Lesotho","-29.5","28.25","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Libya","28","17","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Morocco","32","-5","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Namibia","-22","17","Present","-","Introduced","-","Invasive","Bethune et al. (2004)","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","-","PIER (2016)","-"
"Rwanda","-2","30","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Saint Helena","-15.95","-5.7","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Seychelles","-4.682","55.483","Present","-","Introduced","-","-","PIER (2016)","-"
"South Africa","-29","24","Present","-","Introduced","-","Invasive","Henderson (2001)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","Invasive","DAISIE (2016); Arteaga et al. (2009)","-"
"Swaziland","-26.5","31.5","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Tanzania","-6","35","Present","-","Introduced","-","Invasive","BioNET-EAFRINET (2016)","-"
"Tunisia","34","9","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Zimbabwe","-19","29","Present","-","Introduced","-","-","ISSG (2016)","-"
"Bangladesh","24","90","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Cambodia","13","105","Present","-","Introduced","-","-","Govaerts (2016)","-"
"China","35","105","Present","-","Introduced","-","-","Flora of China Editorial Committee (2016) ; Weber et al. (2008)","Widely cultivated "
"India","20","77","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","Invasive","Toshiya (2005)","-"
"Bonin Islands","27","142.16667","Present","-","Introduced","-","Invasive","Toshiya (2005)","-"
"Myanmar","22","98","Present","-","Introduced","-","-","Govaerts (2016)","-"
"Oman","21","57","Present","-","Introduced","-","-","ISSG (2016)","Established "
