<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Kenya","1","38","Present","-","Introduced","-","-","Blundell, 1992","-"
"Nigeria","10","8","Present","-","Introduced","-","Invasive","Holm et al. (1991)","-"
"South Africa","-29","24","Present","-","Introduced","-","-","Wells et  al., 1986","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2003); Trounce and Dyason (2003)","-"
"Bhutan","27.5","90.5","Present","-","Introduced","-","-","Parker (1992)","-"
"Brunei","4.5","114.66667","Present","-","Introduced","-","-","Waterhouse (1993)","-"
"China","35","105","Present","-","-","-","-","-","Present based on regional distribution."
"Sichuan Sheng","30.5","102.5","Present","-","Introduced","-","-","Greathead (1996)","-"
"Yunnan Sheng","25","102","Present","-","Introduced","-","-","He and Liang (1988)","-"
"India","20","77","Present","-","Introduced","-","Invasive","Holm et al. (1991); Trounce and Dyason (2003)","-"
"Indonesia","-5","120","Present","-","Introduced","-","Invasive","Waterhouse (1993)","-"
"Nepal","28","84","Present","-","Introduced","-","Invasive","Sankaran (1973)","-"
"Philippines","12.38","123.45","Restricted distribution","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1991); Waterhouse (1993)","-"
"Sri Lanka","7","81","Present","-","Introduced","-","-","Holm et al. (1991); Trounce and Dyason (2003)","-"
"Taiwan","24","121","Present","-","Introduced","-","-","Peng et al. (1998)","-"
"Thailand","15","100","Restricted distribution","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1991); Waterhouse (1993)","-"
"Jamaica","18.25","-77.5","Present","-","Introduced","-","Invasive","Trounce and Dyason (2003)","-"
"Trinidad and Tobago","10.45","-61.25","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1991)","-"
"France","46","2","Present","-","-","-","-","-","Present based on regional distribution."
"Region Corse","42","9","Restricted distribution","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Greece","39","22","Present","-","-","-","-","-","Present based on regional distribution."
"Crete","35.15585","24.89502","Restricted distribution","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","Guacchio Edel (2013)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Regiao Autonoma dos Acores","38.5","-28","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Regiao Autonoma da Madeira","32.66667","-16.75","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Spain","40","-4","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Mexico","23","-102","Present","-","Native","-","-","USDA-ARS (2004)","-"
"United States","39.76","-98.5","Restricted distribution","-","Introduced","-","Invasive","EPPO (2014); USDA-ARS (2004)","-"
"Florida","28.75054","-82.5001","Present","-","Introduced","-","Invasive","USDA-ARS (2004)","-"
"Hawaii","20.75028","-156.50028","Present","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1991); USDA-ARS (2004)","-"
"Australia","-25","135","Restricted distribution","-","Introduced","-","Invasive","EPPO (2014); USDA-ARS (2004)","-"
"State of New South Wales","-33","146","Restricted distribution","-","Introduced","-","Invasive","Holm et al. (1991); Lazarides et al. (1997)","-"
"State of Queensland","-20","145","Restricted distribution","-","Introduced","-","Invasive","Holm et al. (1991); Lazarides et al. (1997)","-"
"State of South Australia","-30","135","Restricted distribution","-","Introduced","-","Invasive","Holm et al. (1991); Lazarides et al. (1997)","-"
"Fiji","-18","178","Present","-","Introduced","-","Invasive","Trounce and Dyason (2003)","-"
"New Zealand","-42","174","Restricted distribution","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1991); USDA-ARS (2004)","-"
"Papua New Guinea","-6","147","Restricted distribution","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1991)","-"
