<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","-","-","-","EPPO (2014)","-"
"South Africa","-29","24","Present","-","Introduced","-","Invasive","Henderson  (2001); EPPO (2014)","-"
"China","35","105","Widespread","-","Native","-","-","EPPO (2014); Li (1963); Liu, 1988; Zheng (1978)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Native","-","-","Li (1963); Liu, 1988; Zheng (1978)","-"
"Guangdong Sheng","23","113","Present","-","Native","-","-","-","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Native","-","-","Li (1963); Liu, 1988; Zheng (1978)","-"
"Hebei Sheng","39","116","Present","-","Native","-","-","-","-"
"Shandong Sheng","36","119","Present","-","Native","-","-","Li (1963); Liu, 1988; Zheng (1978)","-"
"Yunnan Sheng","25","102","Present","-","Native","-","-","-","-"
"Zhejiang Sheng","29","120","Present","-","Native","-","-","Li (1963); Liu, 1988; Zheng (1978)","-"
"India","20","77","Present","-","Introduced","-","-","Singh et al. (1992); EPPO (2014)","-"
"State of Himachal Pradesh","31","78","Present","-","Introduced","-","-","Luna (1996)","-"
"State of Jammu and Kashmir","33.91667","76.66667","Present","-","Introduced","-","-","Luna (1996)","-"
"State of Kerala","10","76.5","Present","-","Introduced","-","-","-","-"
"Indonesia","-5","120","Present","-","-","-","-","EPPO (2014)","-"
"Iran","32","53","Present","-","Introduced","-","-","Luna (1996); EPPO (2014)","-"
"Israel","31.5","34.75","Widespread","-","-","-","-","EPPO (2014)","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","Invasive","Singh et al. (1992); EPPO (2014)","-"
"Malaysia","2.5","112.5","Present","-","-","-","-","EPPO (2014)","-"
"Pakistan","30","70","Present","-","Introduced","-","Invasive","Hussain  (2002); EPPO (2014)","-"
"Turkey","39.05901","34.91155","Present","-","-","-","-","EPPO (2014)","-"
"Albania","41","20","Present","-","-","-","-","EPPO (2014)","-"
"Austria","47.33333","13.33333","Present","-","-","-","-","EPPO (2014)","-"
"Belgium","50.83333","4","Present","-","-","-","-","EPPO (2014)","-"
"Czech Republic","49.75","15","Widespread","-","Introduced","-","Invasive","DAISIE (2014); EPPO (2014)","-"
"France","46","2","Present","-","Introduced","1740s","Invasive","Cronk and Fuller  (1995); EPPO (2014); Kowarik (1983); Lepart et al. (1991)","-"
"Region Corse","42","9","Present","-","Introduced","-","Invasive","DAISIE (2014); EPPO (2014)","-"
"Germany","51.5","10.5","Present","-","Introduced","-","Invasive","DAISIE (2014); EPPO (2014)","-"
"Greece","39","22","Present","-","Introduced","-","Invasive","Cronk and Fuller  (1995); EPPO (2014)","-"
"Crete","35.15585","24.89502","Present","-","-","-","-","EPPO (2014)","-"
"Hungary","47","20","Present","-","Introduced","-","Invasive","Cronk and Fuller  (1995); EPPO (2014)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","Invasive","Badalamenti et al. (2012); EPPO (2014)","-"
"Regione Autonoma della Sardegna","40","9","Present","-","Introduced","-","Invasive","DAISIE (2014); EPPO (2014)","-"
"Malta","35.91667","14.43333","Present","-","Introduced","-","Invasive","DAISIE (2014); EPPO (2014)","-"
"Moldova","47","29","Present","-","Introduced","-","Invasive","DAISIE (2014); EPPO (2014)","-"
"Netherlands","52.5","5.75","Present","-","-","-","-","EPPO (2014)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","Invasive","DAISIE (2014); EPPO (2014)","-"
"Regiao Autonoma dos Acores","38.5","-28","Present","-","Introduced","-","Invasive","Weber  (2003); EPPO (2014)","-"
