<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Bangladesh","24","90","Present","-","Introduced","-","Invasive","Islam et al. (2003); Shaheen et al. (2006)","-"
"China","35","105","Present","-","Introduced","-","Invasive","Julien et al. (1995); Tan & Qing, 2002; Weber et al. (2008)","-"
"Anhui Sheng","32","117","Present","-","Introduced","-","-","Julien et al. (1995)","-"
"Beijing Shi","39.91691","116.39706","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2016)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","-","-","Julien et al. (1995); Flora of China Editorial Committee (2016)","-"
"Guangdong Sheng","23","113","Present","-","Introduced","-","-","Julien et al. (1995)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Introduced","-","-","Julien et al. (1995)","-"
"Guizhou Sheng","27","107","Present","-","Introduced","-","-","Julien et al. (1995)","-"
"Hainan Sheng","19.2","109.6","Present","-","-","-","-","Guo and Zhou (2005)","-"
"Hebei Sheng","39","116","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2016)","-"
"Hubei Sheng","31","112","Present","-","Introduced","-","-","Julien et al. (1995); Flora of China Editorial Committee (2016)","-"
"Hunan Sheng","28","112","Present","-","Introduced","-","-","Julien et al. (1995); Flora of China Editorial Committee (2016)","-"
"Jiangsu Sheng","33","120","Present","-","-","-","-","Lou et al. (2005); Flora of China Editorial Committee (2016)","-"
"Jiangxi Sheng","28","116","Present","-","Introduced","-","-","Julien et al. (1995); Flora of China Editorial Committee (2016)","-"
"Shanghai Shi","31.23333","121.46667","Present","-","-","-","-","Lu et al. (2005)","-"
"Sichuan Sheng","30.5","102.5","Present","-","-","-","-","Zhou et al. (2008); Flora of China Editorial Committee (2016)","-"
"Yunnan Sheng","25","102","Present","-","-","-","-","Zhang et al. (2002)","-"
"Zhejiang Sheng","29","120","Present","-","Introduced","-","-","Julien et al. (1995); Flora of China Editorial Committee (2016)","-"
"India","20","77","Widespread","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1979)","-"
"State of Arunachal Pradesh","28","94.5","Present","-","Introduced","-","-","Julien et al. (1995); Chandra (2012)","-"
"State of Assam","26","93","Present","-","Introduced","-","-","Lal and Sah (1990); Chandra (2012)","-"
"State of Bihar","25.75","85.75","Present","-","Introduced","-","-","Lal and Sah (1990)","-"
"National Capital Territory of Delhi","28.6667","77.1","Present","-","Introduced","-","-","Lal and Sah (1990)","-"
"State of Himachal Pradesh","31","78","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Jammu and Kashmir","33.91667","76.66667","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Karnataka","13.5","76","Present","-","Introduced","-","-","Lal and Sah (1990)","-"
"State of Kerala","10","76.5","Present","-","Introduced","-","-","Julien et al. (1995)","-"
"State of Madhya Pradesh","23.5","78.5","Present","-","Introduced","-","-","Sushil and Kamlesh (2005)","-"
"State of Maharashtra","19.5","75","Present","-","-","-","-","Das and Singh (2006)","-"
"State of Manipur","25","94","Present","-","Introduced","-","-","Julien et al. (1995); Chandra (2012)","-"
"State of Meghalaya","25.5","91.33333","Present","-","-","-","-","Patel et al. (2005); Chandra (2012)","-"
"State of Mizoram","23","93","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Nagaland","26","94.25","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Sikkim","27.75","88.5","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Tamil Nadu","11","78","Present","-","Introduced","-","-","Julien et al. (1995)","-"
"State of Tripura","24","92","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Uttar Pradesh","27.25","80.75","Restricted distribution","-","Introduced","-","-","Lal and Sah (1990); Khanna (2009)","-"
