<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","Introduced","-","-","CJB (2016)","-"
"Burundi","-3.5","30","Present","-","Introduced","-","-","CJB (2016)","-"
"Egypt","27","30","Present","-","Introduced","-","-","CJB (2016)","-"
"Libya","28","17","Present","-","Introduced","-","-","CJB (2016)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"South Africa","-29","24","Present","-","Introduced","-","-","Wells et al. (1986); CJB (2016)","-"
"Azerbaijan","40.5","47.5","Present","-","Introduced","-","-","EPPO (2014); Euro+Med (2016)","-"
"China","35","105","Present","-","Introduced","1930","Invasive","Duan and Chen (2000); EPPO (2014); Ling et al. (2012)","-"
"Anhui Sheng","32","117","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Beijing Shi","39.91691","116.39706","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Guangdong Sheng","23","113","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Guizhou Sheng","27","107","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Hainan Sheng","19.2","109.6","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Hebei Sheng","39","116","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Heilongjiang Sheng","48","128","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Henan Sheng","34","114","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Hubei Sheng","31","112","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Hunan Sheng","28","112","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Jiangsu Sheng","33","120","Present","-","Introduced","-","-","Zhan et al. (1993)","-"
"Jiangxi Sheng","28","116","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Jilin Sheng","43","126","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Liaoning Sheng","41","123","Present","-","Introduced","-","-","EPPO (2014); Zhirong (1990)","-"
"Shandong Sheng","36","119","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Shanghai Shi","31.23333","121.46667","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Sichuan Sheng","30.5","102.5","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Yunnan Sheng","25","102","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"Zhejiang Sheng","29","120","Present","-","Introduced","-","Invasive","EPPO (2014)","-"
"India","20","77","Present","-","-","-","-","EPPO (2014)","North-eastern India"
"State of Meghalaya","25.5","91.33333","Present","-","Introduced","-","-","Sahoo (1998); Singh and Lal (1994)","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1979); Moriya (1999); Nakayama (1998); Ohtsuka (1998)","-"
"Kazakhstan","48","68","Present","-","Introduced","-","-","EPPO (2014)","-"
"Taiwan","24","121","Present","-","Introduced","-","Invasive","EPPO (2014); Wang and Chiang (1998)","-"
"Turkey","39.05901","34.91155","Present","-","Introduced","-","-","Byfield and Baytop (1998); EPPO (2000); EPPO (2014); Euro+Med (2016)","-"
"Bahamas","24.636","-78.055","Present","-","Introduced","-","-","USDA-ARS (2016)","-"
"Cuba","22","-79.5","Present","-","-","-","-","EPPO (2014); USDA-ARS (2016)","-"
"Dominican Republic","19","-70.66667","Present only in captivity/cultivation","-","Introduced","-","-","USDA-ARS (2016)","-"
"Guadeloupe","16.25","-61.58333","Present","-","Introduced","-","-","EPPO (2014)","-"
