<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Groupe d’ Aldabra","-9.41667","46.36667","Present","-","Introduced","-","-","Clayton et al. (2014)","-"
"Algeria","28","3","Present","-","Introduced","-","-","Clayton et al. (2014); USDA-ARS (2007)","-"
"Botswana","-22","24","Present","-","Introduced","-","-","Clayton et al. (2014); Boland (2006)","-"
"Cape Verde","15.08","-23.63","Present","-","Introduced","-","-","Clayton et al. (2014)","-"
"Egypt","27","30","Present","-","Introduced","-","-","Clayton et al. (2014); USDA-ARS (2007)","-"
"Ethiopia","8","38","Present","-","Introduced","-","-","Clayton et al. (2014)","-"
"Kenya","1","38","Present","-","Introduced","-","-","BioNET-EAFRINET (2014); Ahmed et al. (1977)","Noxious weed"
"Lesotho","-29.5","28.25","Present","-","Introduced","-","-","PROTA (2014)","-"
"Libya","28","17","Present","-","Introduced","-","-","Clayton et al. (2014); USDA-ARS (2007)","-"
"Madagascar","-20","47","Present","-","Introduced","-","-","Clayton et al. (2014)","-"
"Morocco","32","-5","Present","-","Introduced","-","-","Clayton et al. (2014)","-"
"Namibia","-22","17","Widespread","-","-","-","-","Ahmed et al. (1977); Clayton et al. (2014)","-"
"Saint Helena","-15.95","-5.7","Present","-","Introduced","-","-","Clayton et al. (2014)","-"
"Seychelles","-4.682","55.483","Present","-","Introduced","-","-","Clayton et al. (2014)","-"
"Somalia","6","48","Present","-","Introduced","-","-","Clayton et al. (2014)","-"
"South Africa","-29","24","Present","-","Introduced","-","Invasive","Rossa and Tueffers (1998); Foxcroft et al. (2007)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","Invasive","Hafliger and Scholz (1981); DAISIE (2014)","-"
