<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Egypt","27","30","Present","-","-","-","-","Magda et al. (2002); EPPO (2014)","-"
"Mozambique","-18.25","35","Present","-","Introduced","-","Invasive","Langa (2013)","-"
"South Africa","-29","24","Widespread","-","Introduced","1948","Invasive","Twyman and Ashton (1972)","-"
"Zimbabwe","-19","29","Present","-","Introduced","-","Invasive","Chikwenhere (2001)","-"
"China","35","105","Present","-","Introduced","-","-","Reed (1954)","-"
"India","20","77","Present","-","-","-","-","Parimal and Kushari (2002)","-"
"Iran","32","53","Present","-","Introduced","-","Invasive","Khoshravesh et al. (2009)","-"
"Israel","31.5","34.75","Present, few occurrences","-","-","-","-","EPPO (2014)","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","-","Seto and Nasu (1975)","-"
"Turkey","39.05901","34.91155","Present","-","-","-","-","EPPO (2014)","-"
"Costa Rica","10","-84","Present","-","Native","-","-","USDA-ARS (2003)","-"
"Guatemala","15.5","-90.25","Present","-","Native","-","-","USDA-ARS (2003)","-"
"Honduras","15","-86.5","Present","-","Native","-","-","USDA-ARS (2003)","-"
"Nicaragua","13","-85","Present","-","Native","-","-","USDA-ARS (2003)","-"
"Trinidad and Tobago","10.45","-61.25","Present","-","Introduced","-","-","Reed, 1965","-"
"Belgium","50.83333","4","Present","-","Introduced","-","-","Lawalree (1964); EPPO (2014)","-"
"Bulgaria","43","25","Present","-","Introduced","-","-","Sourek (1958); EPPO (2014)","-"
"Croatia","45.16667","15.5","Present","-","Introduced","-","-","EPPO (2014)","-"
"Czech Republic","49.75","15","Present","-","Introduced","-","-","EPPO (2014)","-"
"France","46","2","Present","-","Introduced","-","Invasive","Chevalier (1926); EPPO (2014)","-"
"Germany","51.5","10.5","Present","-","Introduced","-","Invasive","EPPO (2014); Hussner et al. (2010); Schloemer (1953)","-"
"Greece","39","22","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2003); EPPO (2014)","-"
"Hungary","47","20","Present","-","Introduced","-","Invasive","EPPO (2014); Royal Botanic Garden Edinburgh (2003)","-"
"Ireland","53","-8","Present","-","Introduced","-","Invasive","Brunker (1949); EPPO (2014)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","Invasive","EPPO (2014); Royal Botanic Garden Edinburgh (2003)","-"
"Regione Autonoma della Sardegna","40","9","Present","-","Introduced","-","-","EPPO (2014)","-"
"Netherlands","52.5","5.75","Present","-","Introduced","-","Invasive","EPPO (2014); Pratt et al. (2013); Sculthorpe (1967)","-"
"Poland","52","20","Present, few occurrences","-","Introduced","-","Invasive","EPPO (2014)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","Invasive","Reed (1962); EPPO (2014)","-"
"Romania","46","25","Present","-","Introduced","-","-","Lawalree (1964); EPPO (2014)","-"
"Russia","60","100","Present","-","Introduced","-","-","EPPO (2014)","-"
"Spain","40","-4","Present","-","Native","-","Invasive","EPPO (2014); Royal Botanic Garden Edinburgh (2003)","-"
"Sweden","62","15","Present","-","-","-","-","EPPO (2014)","-"
"United Kingdom","54","-2","Present","-","Introduced","1921","Invasive","EPPO (2014); Royal Botanic Garden Edinburgh (2003)","-"
"Ukraine","49","32","Present","-","-","-","-","EPPO (2014)","-"
"Canada","60.10867","-113.64258","Present","-","-","-","-","-","Present based on regional distribution."
"British Columbia","53.99983","-125.0032","Present","-","Native","-","-","USDA-ARS (2003)","-"
