<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Bahamas","24.636","-78.055","Present","-","Native","-","-","Van Deelen (1991); EPPO (2014)","-"
"Cuba","22","-79.5","Present","-","Native","-","-","Van Deelen (1991); EPPO (2014)","-"
"Belgium","50.83333","4","Restricted distribution","-","Introduced","-","-","Caño et al. (2013); EPPO (2014)","-"
"France","46","2","Restricted distribution","-","Introduced","-","Invasive","Caño et al. (2013); Dupont (1966); EPPO (2014)","Locally abundant in estuaries in west; scattered populations in north and south"
"Italy","42.83333","12.83333","Restricted distribution","-","Introduced","-","-","Caño et al. (2013); EPPO (2014)","-"
"Spain","40","-4","Restricted distribution","-","Introduced","-","Invasive","Caño et al. (2013); Campos and Herrera (1997); EPPO (2014)","Naturalized in Bay of Biscay since 1906, abundant in estuaries in northern Spain"
"United Kingdom","54","-2","Restricted distribution","-","Introduced","-","No","EPPO (2014); Stace (1991); Weber (2003)","-"
"Canada","60.10867","-113.64258","Present","-","-","-","-","-","Present based on regional distribution."
"Nova Scotia","45.00015","-62.99865","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Mexico","23","-102","Restricted distribution","-","-","-","-","USDA-NRCS (2001); EPPO (2014)","-"
"United States","39.76","-98.5","Present","-","Native","-","Invasive","Tarver et al. (1988)","-"
"Alabama","32.75041","-86.75026","Present","-","Native","-","-","Mohr (1901); EPPO (2014)","-"
"Arkansas","34.75037","-92.50044","Present","-","Native","-","-","Smith (1988); EPPO (2014)","-"
"Connecticut","41.66704","-72.66648","Present","-","Native","-","-","Dowhan (1979); EPPO (2014)","-"
"Delaware","39.00039","-75.49992","Present","-","Native","-","-","EPPO (2014); Ralph (undated); USDA-NRCS (2005)","-"
"Florida","28.75054","-82.5001","Present","-","Native","-","-","EPPO (2014); USDA-ARS (2005); USDA-NRCS (2005)","-"
"Georgia","32.75042","-83.50018","Widespread","-","Native","-","Invasive","Duncan and Kartesz (1981); EPPO (2014)","-"
"Louisiana","31.00047","-92.0004","Widespread","-","Native","-","Invasive","Thomas and Allen (1997); EPPO (2014)","-"
"Maryland","39.00039","-76.74997","Present","-","Native","-","-","Brown and Brown (1972); EPPO (2014)","-"
"Massachusetts","42.36565","-71.10832","Present","-","Native","-","-","Sorrie and Somers (1999); EPPO (2014)","-"
"Mississippi","32.75041","-89.75036","Widespread","-","Native","-","-","Lowe (1921); EPPO (2014)","-"
"New Jersey","40.16706","-74.49987","Present","-","Native","-","-","EPPO (2014); USDA-ARS (2005); USDA-NRCS (2005)","-"
"New York","43.00035","-75.4999","Present","-","Native","-","-","Mitchell (1986); EPPO (2014)","-"
"North Carolina","35.50069","-80.00032","Present","-","Native","-","Invasive","Radford et al. (1964); EPPO (2014)","-"
"Oklahoma","35.49209","-97.50328","Present","-","Native","-","-","Taylor and Taylor (1989); EPPO (2014)","-"
"Pennsylvania","40.27245","-76.90567","Present","-","Native","-","-","Wherry et al. (1979); EPPO (2014)","-"
"Rhode Island","41.75038","-71.49978","Present","-","Native","-","-","George (1992); EPPO (2014)","-"
"South Carolina","34.00043","-81.00009","Widespread","-","Native","-","Invasive","Radford et al. (1964); EPPO (2014)","-"
"Texas","31.25044","-99.25061","Widespread","-","Native","-","Invasive","Hatch et al. (1990); EPPO (2014)","-"
"Virginia","37.54812","-77.44675","Widespread","-","Native","-","-","Harvill et al. (1977); EPPO (2014)","-"
"West Virginia","38.50038","-80.50009","Present","-","Native","-","-","Harvill et al. (1977); EPPO (2014)","-"
"Australia","-25","135","Restricted distribution","-","Introduced","-","Invasive","Westman et al. (1975)","-"
"State of New South Wales","-33","146","Widespread","-","Introduced","-","Invasive","Westman et al. (1975); EPPO (2014)","-"
"State of Queensland","-20","145","Widespread","-","Introduced","-","Invasive","Bailey (1900); EPPO (2014); Winders (1937)","-"
"State of Western Australia","-25","122","Restricted distribution","-","Introduced","-","Invasive","Westman et al. (1975)","-"
"New Zealand","-42","174","Restricted distribution","-","Introduced","-","-","EPPO (2014); USDA-ARS (2005)","-"
