<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Cameroon","6","12","Present","-","-","-","-","GBIF (2009)","-"
"South Africa","-29","24","Present","-","Introduced","-","-","Aluka African Plants (2009)","-"
"Zambia","-15","30","Present","-","Introduced","-","-","Aluka African Plants (2009)","-"
"Zimbabwe","-19","29","Present","-","Introduced","-","-","Aluka African Plants (2009)","-"
"Bhutan","27.5","90.5","Present","-","Introduced","-","-","Grierson and Long (2001)","-"
"China","35","105","Present","-","-","-","-","EPPO (2014)","-"
"Gansu Sheng","38","102","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Guangdong Sheng","23","113","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Native","-","-","Starr et al. (2003)","-"
"Henan Sheng","34","114","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Hubei Sheng","31","112","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Hunan Sheng","28","112","Present","-","Native","-","-","Starr et al. (2003)","-"
"Jiangsu Sheng","33","120","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Jiangxi Sheng","28","116","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Shaanxi","36","109","Present","-","Native","-","-","Starr et al. (2003)","-"
"Shanxi Sheng","37","112","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Sichuan Sheng","30.5","102.5","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Tibet Autonomous Region","32","90","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Yunnan Sheng","25","102","Present","-","Native","-","-","Wu and Raven (1996)","-"
"Zhejiang Sheng","29","120","Present","-","Native","-","-","Wu and Raven (1996)","-"
