<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"China","35","105","Present","-","-","-","-","EPPO (2014)","-"
"Jiangsu Sheng","33","120","Present","-","Introduced","-","Invasive","Zhang et al. (2003)","-"
"Shanghai Shi","31.23333","121.46667","Present","-","Introduced","-","Invasive","Zhang et al. (2003)","-"
"Zhejiang Sheng","29","120","Present","-","Introduced","1993","Invasive","Zhang et al. (2003)","-"
"India","20","77","Present","-","Introduced","-","-","Washington State Department of Ecology (2008); EPPO (2014)","-"
"Japan","35.68536","139.75309","Present","-","-","-","-","EPPO (2014)","-"
"Honshu","36","138","Present","-","Introduced","-","Invasive","GBIF (2008)","-"
"Malaysia","2.5","112.5","Present","-","Introduced","-","-","Washington State Department of Ecology (2008); EPPO (2014)","-"
"Peninsular Malaysia","4","102","Present","-","-","-","-","Siti-Munirah and Chew (2010)","-"
"Belgium","50.83333","4","Present","-","-","-","-","EPPO (2014)","-"
"France","46","2","Present, few occurrences","-","-","-","-","EPPO (2014)","-"
"Hungary","47","20","Present, few occurrences","-","-","-","-","EPPO (2014)","-"
"Netherlands","52.5","5.75","Present, few occurrences","-","-","-","-","NPPO of the Netherlands, 2013; EPPO (2014)","-"
"United Kingdom","54","-2","Present","-","Introduced","-","-","GBIF (2008); EPPO (2014)","-"
"Canada","60.10867","-113.64258","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Ontario","49.25014","-84.49983","Present","-","Introduced","-","-","Hogsden et al. (2007); EPPO (2014)","-"
"Mexico","23","-102","Present","-","-","-","-","GBIF (2008)","-"
"United States","39.76","-98.5","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Alabama","32.75041","-86.75026","Present","-","-","-","-","GBIF (2008); EPPO (2014)","-"
"Arkansas","34.75037","-92.50044","Present","-","Native","-","-","GBIF (2008); EPPO (2014)","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","-","GBIF (2008); EPPO (2014)","-"
"Connecticut","41.66704","-72.66648","Present","-","Introduced","1937","-","Les and Mehrhoff (1999); EPPO (2014)","-"
"Delaware","39.00039","-75.49992","Present","-","Introduced","-","-","GBIF (2008); EPPO (2014)","-"
"District of Columbia","38.91706","-77.00025","Present","-","-","-","-","EPPO (2014)","-"
"Florida","28.75054","-82.5001","Present","-","Native","-","-","GBIF (2008); EPPO (2014)","-"
"Georgia","32.75042","-83.50018","Present","-","Native","-","-","GBIF (2008); EPPO (2014)","-"
"Hawaii","20.75028","-156.50028","Present","-","-","-","-","GBIF (2008)","-"
"Illinois","40.00032","-89.25037","Present","-","-","-","-","GBIF (2008); EPPO (2014)","-"
"Indiana","40.00032","-86.25027","Present","-","-","-","-","GBIF (2008); EPPO (2014)","-"
"Kansas","38.50029","-98.50063","Present","-","-","-","-","GBIF (2008); EPPO (2014)","-"
"Kentucky","38.20042","-84.87762","Present","-","-","-","-","GBIF (2008); EPPO (2014)","-"
"Louisiana","31.00047","-92.0004","Present","-","-","-","-","GBIF (2008); EPPO (2014)","-"
"Maine","45.50032","-69.24977","Present","-","-","-","-","EPPO (2014)","-"
"Maryland","39.00039","-76.74997","Present","-","-","-","-","GBIF (2008); EPPO (2014)","-"
"Massachusetts","42.36565","-71.10832","Present","-","Introduced","1937","-","Les and Mehrhoff (1999); EPPO (2014)","-"
"Michigan","44.25029","-85.50033","Present","-","Introduced","-","-","GBIF (2008); EPPO (2014)","-"
"Mississippi","32.75041","-89.75036","Present","-","-","-","-","GBIF (2008)","-"
"Missouri","38.25031","-92.50046","Present","-","-","-","-","GBIF (2008); EPPO (2014)","-"
"New Hampshire","43.66702","-71.4998","Present","-","Introduced","1956","-","Les and Mehrhoff (1999); EPPO (2014)","-"
"New Jersey","40.16706","-74.49987","Present","-","Introduced","-","-","GBIF (2008); EPPO (2014)","-"
"New York","43.00035","-75.4999","Present","-","Introduced","1955","-","Les and Mehrhoff (1999); EPPO (2014)","-"
"North Carolina","35.50069","-80.00032","Present","-","Native","-","-","GBIF (2008); EPPO (2014)","-"
