<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","Native","-","Invasive","Tennent (1994)","-"
"Angola","-12.5","18.5","Present","-","-","-","-","-","-"
"Burkina Faso","13","-2","Present","-","Native","-","-","World Agroforestry Centre (2003)","-"
"Cameroon","6","12","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Cape Verde","15.08","-23.63","Present","-","-","-","-","-","-"
"Central African Republic","7","21","Present","-","-","-","-","-","-"
"Chad","15","19","Present","-","Native","-","Invasive","World Agroforestry Centre (2003)","-"
"Congo Democratic Republic","0","25","Present","-","Native","-","Invasive","PIER (2002)","-"
"Ivory Coast","8","-5","Present","-","Native","-","Invasive","PIER (2002)","-"
"Djibouti","11.5","42.5","Present","-","-","-","-","-","-"
"Egypt","27","30","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Eritrea","15","39","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Ethiopia","8","38","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Gambia","13.5","-15.5","Present","-","Native","-","-","USDA-ARS (2003)","-"
"Ghana","8.1","-1.2","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Guinea","11","-10","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Guinea-Bissau","12","-15","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Kenya","1","38","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Liberia","6.5","-9.5","Present","-","Native","-","Invasive","PIER (2002)","-"
"Libya","28","17","Present","-","Native","-","Invasive","Leonard and Boulos (1997)","-"
"Madagascar","-20","47","Present","-","-","-","-","-","-"
"Malawi","-13.5","34","Present","-","-","-","-","-","-"
"Mali","18","-2","Present","-","Native","-","Invasive","World Agroforestry Centre (2003)","-"
"Mauritania","20","-12","Present","-","-","-","-","-","-"
"Morocco","32","-5","Present","-","Native","-","Invasive","PIER (2002)","-"
"Mozambique","-18.25","35","Present","-","Native","-","Invasive","World Agroforestry Centre (2003)","-"
"Niger","18","9","Present","-","Native","-","Invasive","World Agroforestry Centre (2003)","-"
"Nigeria","10","8","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Senegal","14","-14","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Sierra Leone","8.5","-11.5","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Somalia","6","48","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Sudan","16","30","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Tanzania","-6","35","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Togo","8","1.16667","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Tunisia","34","9","Present","-","-","-","-","-","-"
"Uganda","2","33","Present","-","Native","-","-","USDA-ARS (2003)","-"
"Western Sahara","24.49215","-12.65625","Present","-","-","-","-","-","-"
"Zambia","-15","30","Present","-","-","-","-","-","-"
"Zimbabwe","-19","29","Present","-","Native","-","Invasive","World Agroforestry Centre (2003)","-"
"Afghanistan","33","66","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Bangladesh","24","90","Present","-","Native","-","Invasive","PIER (2002)","-"
"Bhutan","27.5","90.5","Present","-","Native","-","Invasive","PIER (2002)","-"
"Cambodia","13","105","Present","-","Native","-","Invasive","PIER (2002)","-"
"China","35","105","Present","-","Introduced","-","Invasive","Missouri Botanical Garden (2003)","-"
"Guangdong Sheng","23","113","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
"Yunnan Sheng","25","102","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
"India","20","77","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"Union Territory of Andaman and Nicobar Islands","11.70065","92.67517","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Andhra Pradesh","16","79","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Arunachal Pradesh","28","94.5","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Assam","26","93","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Bihar","25.75","85.75","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"Union Territory of Chandigarh","30.75","76.8","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"Daman","20.41667","72.85","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"National Capital Territory of Delhi","28.6667","77.1","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"Diu Island","20.71667","70.91667","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Goa","15.33333","74.08333","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Gujarat","23","72","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Haryana","29","76","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Himachal Pradesh","31","78","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Jammu and Kashmir","33.91667","76.66667","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Karnataka","13.5","76","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Kerala","10","76.5","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"Union Territory of Lakshadweep","10.9385","72.28043","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Madhya Pradesh","23.5","78.5","Present","-","Native","-","Invasive","Jain and Sahu (1993)","-"
"State of Maharashtra","19.5","75","Present","-","-","-","-","-","-"
"State of Manipur","25","94","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Meghalaya","25.5","91.33333","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Mizoram","23","93","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Nagaland","26","94.25","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Odisha","20.5","84.41667","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Rajasthan","26","74","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Sikkim","27.75","88.5","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Tamil Nadu","11","78","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Tripura","24","92","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of Uttar Pradesh","27.25","80.75","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"State of West Bengal","24","88","Present","-","Native","-","Invasive","Sastry and Kavathekar (1990)","-"
"Iran","32","53","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Iraq","33","44","Present","-","Native","-","Invasive","World Agroforestry Centre (2003)","-"
"Israel","31.5","34.75","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Myanmar","22","98","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Nepal","28","84","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Oman","21","57","Present","-","-","-","-","-","-"
"Pakistan","30","70","Present","-","Native","-","Invasive","Shinwari et al., 1988","-"
"Qatar","25.5","51.25","Present","-","Native","-","Invasive","El-Demerdash et al. (1994); Shaltout and Mady (1993)","-"
"Saudi Arabia","25","45","Present","-","Native","-","Invasive","USDA-ARS (2003)","-"
"Sri Lanka","7","81","Present","-","Native","-","Invasive","PIER (2002)","-"
"Syria","35","38","Present","-","Native","-","Invasive","World Agroforestry Centre (2003)","-"
