<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Cape Verde","15.08","-23.63","Present","-","Introduced","-","Invasive","Weber (2003)","-"
"Saint Helena","-15.95","-5.7","Present","-","Introduced","-","-","GISP (2008)","-"
"South Africa","-29","24","Present","-","Native","-","-","USDA-ARS (2008); EPPO (2014)","-"
"Tunisia","34","9","Present","-","Introduced","-","-","GISP (2008)","-"
"Israel","31.5","34.75","Widespread","-","-","-","-","EPPO (2014)","-"
"Albania","41","20","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","-"
"Belgium","50.83333","4","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2008)","-"
"Croatia","45.16667","15.5","Present","-","Introduced","-","-","Trinajstic (1998)","-"
"France","46","2","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","-"
"Region Corse","42","9","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","-"
"Germany","51.5","10.5","Present","-","Introduced","-","-","GISP (2008)","-"
"Gibraltar","36.1366","-5.348","Present","-","Introduced","-","Invasive","GISP (2008)","-"
"Greece","39","22","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","-"
"Crete","35.15585","24.89502","Present","-","-","-","-","EPPO (2014)","-"
"Ireland","53","-8","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","+ Sicily"
"Regione Autonoma della Sardegna","40","9","Present","-","-","-","-","EPPO (2014)","-"
"Regione Autonoma Siciliana","37.75","14.25","Present","-","-","-","-","EPPO (2014)","-"
"Malta","35.91667","14.43333","Present","-","Introduced","-","-","GISP (2008); EPPO (2014)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","-"
"Regiao Autonoma dos Acores","38.5","-28","Present","-","Introduced","-","Invasive","EPPO (2014); Royal Botanic Garden Edinburgh (2008); Weber (2003)","-"
"Regiao Autonoma da Madeira","32.66667","-16.75","Present","-","Introduced","-","-","Weber (2003)","-"
"Russia","60","100","Present","-","-","-","-","-","Present based on regional distribution."
"Spain","40","-4","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","-"
"United Kingdom","54","-2","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2008); EPPO (2014)","-"
"Mexico","23","-102","Present","-","Introduced","-","-","GISP (2008)","-"
"United States","39.76","-98.5","Localised","-","Introduced","-","-","USDA-NRCS (2008)","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","Invasive","USDA-NRCS (2008)","-"
"Florida","28.75054","-82.5001","Present","-","Introduced","-","-","USDA-NRCS (2008)","-"
"Australia","-25","135","Localised","-","Introduced","-","-","Weber (2003)","-"
"French Polynesia","-15","-140","Present","-","Introduced","-","-","PIER (2008)","-"
"New Zealand","-42","174","Present","-","Introduced","-","Invasive","Weber (2003)","-"
"Pitcairn Island","48.89988","-93.4336","Present","-","Introduced","-","-","PIER (2008)","-"
"Argentina","-34","-64","Present","-","Introduced","-","-","GISP (2008)","-"
"Bolivia","-17","-65","Present","-","Introduced","-","-","Missouri Botanical Garden (2008)","-"
"Chile","-30","-71","Present","-","Introduced","-","-","GISP (2008)","-"
