<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"South Africa","-29","24","Present","-","Introduced","-","Invasive","Robinson (1984)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","-","Sanz-Elorza et al. (2004); EPPO (2014)","-"
"Swaziland","-26.5","31.5","Present","-","Introduced","-","-","Swaziland's Alien Plants database (2009)","-"
"Turkey","39.05901","34.91155","Present","-","Introduced","-","-","DAISIE (2009); EPPO (2014)","-"
"France","46","2","Present","-","Introduced","-","-","DAISIE (2009); EPPO (2014)","-"
"Region Corse","42","9","Present","-","-","-","-","EPPO (2014)","-"
"Ireland","53","-8","Present","-","Introduced","-","No","Reynolds (2002)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","Invasive","DAISIE (2009); EPPO (2014)","-"
"Regione Autonoma della Sardegna","40","9","Present","-","-","-","-","EPPO (2014)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","Invasive","DAISIE (2009); EPPO (2014); Marchante and Marchante (2005)","-"
"Regiao Autonoma dos Acores","38.5","-28","Present, few occurrences","-","Introduced","-","No","Schafer (2003); EPPO (2014)","-"
"Regiao Autonoma da Madeira","32.66667","-16.75","Present, few occurrences","-","Introduced","-","-","Silva (2002); EPPO (2014)","-"
"Spain","40","-4","Present","-","Introduced","<1969","Invasive","Sanz-Elorza et al. (2004); EPPO (2014)","-"
"Comunitat Autonoma de les Illes Balears","39.58876","2.90314","Present","-","Introduced","-","No","Moragues and Rita (2005)","-"
"United Kingdom","54","-2","Present","-","Introduced","-","-","DAISIE (2009); EPPO (2014)","-"
"Mexico","23","-102","Present","-","Introduced","-","-","CONABIO (2009)","-"
"Alabama","32.75041","-86.75026","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"California","37.25022","-119.75126","Present","-","Introduced","mid 1800s","Invasive","Lambrinos (2001)","-"
"Georgia","32.75042","-83.50018","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"Hawaii","20.75028","-156.50028","Present","-","Introduced","-","No","PIER (2008)","-"
"Louisiana","31.00047","-92.0004","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"New Jersey","40.16706","-74.49987","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"Oregon","44.00013","-120.50139","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"South Carolina","34.00043","-81.00009","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"Tennessee","35.75035","-86.25027","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"Texas","31.25044","-99.25061","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"Utah","39.25024","-111.75103","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"Virginia","37.54812","-77.44675","Present","-","Introduced","-","-","USDA-NRCS (2009)","-"
"Australia","-25","135","Present","-","-","-","-","-","Present based on regional distribution."
"State of New South Wales","-33","146","Present","-","Introduced","-","Invasive","Parsons and Cuthbertson (2001)","-"
"State of South Australia","-30","135","Present","-","Introduced","-","Invasive","Parsons and Cuthbertson (2001)","-"
"State of Tasmania","-42","147","Present","-","Introduced","-","Invasive","Parsons and Cuthbertson (2001)","-"
"State of Victoria","-37","145","Present","-","Introduced","-","Invasive","Australian Government (2009)","-"
"State of Western Australia","-25","122","Present","-","Introduced","-","Invasive","Parsons and Cuthbertson (2001)","-"
"French Polynesia","-15","-140","Present only in captivity/cultivation","-","Introduced","-","-","Florence et al. (2007)","-"
"New Zealand","-42","174","Present","-","Introduced","-","Invasive","Gosling et al. (2000)","-"
"Argentina","-34","-64","Present","-","Native","-","-","Zuloaga et al. (2008); EPPO (2014)","-"
"Brazil","-10","-55","Present","-","-","-","-","-","Present based on regional distribution."
"Parana","-7.81667","-39.68333","Present","-","Native","-","-","Zuloaga et al. (2008)","-"
"Estado do Rio Grande do Sul","-30","-54","Present","-","Native","-","-","Zuloaga et al. (2008)","-"
"Estado de Santa Catarina","-27","-50","Present","-","Native","-","-","Zuloaga et al. (2008)","-"
"Chile","-30","-71","Present","-","Native","-","-","Zuloaga et al. (2008)","-"
"Uruguay","-33","-56","Present","-","Native","-","-","Zuloaga et al. (2008)","-"
