<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Austria","47.33333","13.33333","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases","-"
"Belgium","50.83333","4","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Denmark","56","10","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Finland","64","26","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases","-"
"France","46","2","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Region Corse","42","9","Present","-","-","-","-","EPPO (2014)","-"
"Germany","51.5","10.5","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Greece","39","22","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Ireland","53","-8","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases","-"
"Italy","42.83333","12.83333","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Regione Autonoma della Sardegna","40","9","Present","-","-","-","-","EPPO (2014)","-"
"Netherlands","52.5","5.75","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Norway","62","10","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Portugal","39.5","-8","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Spain","40","-4","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Comunitat Autonoma de les Illes Balears","39.58876","2.90314","Present","-","-","-","-","EPPO (2014)","-"
"Sweden","62","15","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"United Kingdom","54","-2","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases; EPPO (2014)","-"
"Mexico","23","-102","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases","-"
"United States","39.76","-98.5","Present","-","-","-","-","Datamining 2011 - Invasive Species Databases","-"
