<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Oceania","-18.31281","138.51562","Present","-","Native","-","-","OEPP/EPPO (2007)","-"
"Europe","48.69096","9.14062","Present","-","Introduced","-","Invasive","OEPP/EPPO (2007)","-"
"Austria","47.33333","13.33333","Present","-","Introduced","-","-","Minchin (2008)","-"
"Belgium","50.83333","4","Present","-","-","-","-","EPPO (2014); NOBANIS (2005)","-"
"Denmark","56","10","Present, few occurrences","-","Introduced","2003","Invasive","NOBANIS (2005); EPPO (2014)","-"
"France","46","2","Present, few occurrences","-","-","-","-","EPPO (2014); OEPP/EPPO (2007); Weber (2003)","-"
"Region Corse","42","9","Present","-","Introduced","-","-","Minchin (2008)","-"
"Germany","51.5","10.5","Restricted distribution","-","-","-","-","EPPO (2014); NOBANIS (2005); OEPP/EPPO (2007)","-"
"Ireland","53","-8","Localised","-","Introduced","1984","Invasive","Devlin (2016); NOBANIS (2005); OEPP/EPPO (2007)","-"
"Italy","42.83333","12.83333","Localised","-","Introduced","-","-","Afferni and Tavormina (2007)","Trieste district"
"Netherlands","52.5","5.75","Restricted distribution","-","Introduced","1995","Invasive","EPPO (2014); OEPP/EPPO (2007)","-"
"Spain","40","-4","Present","-","-","-","-","EPPO (2014); OEPP/EPPO (2004)","-"
"United Kingdom","54","-2","Restricted distribution","-","-","-","-","EPPO (2014); OEPP/EPPO (2007)","-"
"Northern Ireland","54.5","-6.5","Present","-","-","-","-","EPPO (2014)","-"
"United States","39.76","-98.5","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Florida","28.75054","-82.5001","Present","-","Introduced","-","Invasive","OEPP/EPPO (2004); OEPP/EPPO (2006); OEPP/EPPO (2007)","-"
"North Carolina","35.50069","-80.00032","Present","-","Introduced","-","Invasive","OEPP/EPPO (2004); OEPP/EPPO (2006); OEPP/EPPO (2007)","-"
"Australia","-25","135","Present","-","-","-","-","EPPO (2014); OEPP/EPPO (2007)","-"
"State of New South Wales","-33","146","Present","-","Native","-","-","OEPP/EPPO (2007)","-"
"State of South Australia","-30","135","Present","-","Native","-","-","OEPP/EPPO (2007)","-"
"State of Tasmania","-42","147","Present","-","Native","-","-","OEPP/EPPO (2007)","-"
"State of Victoria","-37","145","Present","-","Native","-","-","OEPP/EPPO (2007)","-"
"State of Western Australia","-25","122","Present","-","Native","-","-","OEPP/EPPO (2007)","-"
"New Zealand","-42","174","Present","-","-","-","-","EPPO (2014); NZPCN (2005); OEPP/EPPO (2007)","-"
"Papua New Guinea","-6","147","Present","-","Native","-","-","Randall (1999)","-"
