<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Namibia","-22","17","Widespread","-","Introduced","-","Invasive","Novoa et al. (2015)","-"
"South Africa","-29","24","Widespread","-","Introduced","-","Invasive","Invasive Species South Africa (2014)","-"
"Zimbabwe","-19","29","Widespread","-","Introduced","-","Invasive","Novoa et al. (2015)","-"
"France","46","2","Widespread","-","Introduced","-","Invasive","EPPO (2014)","-"
"Spain","40","-4","Widespread","-","Introduced","-","Invasive","EPPO (2014)","-"
"Mexico","23","-102","Widespread","-","Native","-","No","Walters et al. (2011)","-"
"Australia","-25","135","Present","-","-","-","-","-","Present based on regional distribution."
"State of New South Wales","-33","146","Widespread","-","Introduced","-","Invasive","Council of Heads of Australasian Herbaria (2015)","-"
"State of South Australia","-30","135","Widespread","-","Introduced","-","Invasive","Council of Heads of Australasian Herbaria (2015)","-"
"State of Victoria","-37","145","Widespread","-","Introduced","-","Invasive","Council of Heads of Australasian Herbaria (2015)","-"
"State of Western Australia","-25","122","Widespread","-","Introduced","-","Invasive","Council of Heads of Australasian Herbaria (2015)","-"
"Peru","-10","-76","Widespread","-","Introduced","-","No","Peru Checklist (2015)","-"
