<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"South Africa","-29","24","Widespread","-","Introduced","-","Invasive","Invasive Species South Africa (2016)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Restricted distribution","-","Introduced","-","Invasive","Heywood and Ball (1968); USDA-ARS (2016)","-"
"China","35","105","Present","-","Introduced","-","-","ILDIS (2003)","-"
"India","20","77","Present","-","Introduced","-","Invasive","ILDIS (2003)","-"
"State of Arunachal Pradesh","28","94.5","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Assam","26","93","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Himachal Pradesh","31","78","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Jammu and Kashmir","33.91667","76.66667","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Manipur","25","94","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Meghalaya","25.5","91.33333","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Mizoram","23","93","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Nagaland","26","94.25","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Sikkim","27.75","88.5","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Tripura","24","92","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Uttar Pradesh","27.25","80.75","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of Uttarakhand","30.25","79.25","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"State of West Bengal","24","88","Present","-","Introduced","-","Invasive","Chandra (2012)","-"
"Iran","32","53","Widespread","-","Introduced","-","-","Holm et al. (1979); Peterson & Prasad, 1998","-"
"Japan","35.68536","139.75309","Widespread","-","Introduced","1670","-","Hotta et al. (1989)","-"
"Dominican Republic","19","-70.66667","Present","-","Introduced","-","Invasive","Mir (2012)","-"
"Albania","41","20","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Andorra","42.5","1.5","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Austria","47.33333","13.33333","Widespread","-","Native","-","-","Royal Botanic Garden Edinburgh (2003)","-"
"Belarus","53","28","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Belgium","50.83333","4","Widespread","-","Native","-","-","Heywood and Ball (1968); DAISIE (2016)","-"
"Bosnia and Herzegovina","44.25","17.83333","Widespread","-","Native","-","No","Heywood and Ball (1968)","-"
"Bulgaria","43","25","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Croatia","45.16667","15.5","Widespread","-","Native","-","No","Heywood and Ball (1968)","-"
"Czech Republic","49.75","15","Widespread","-","Native","-","No","Heywood and Ball (1968)","-"
"Denmark","56","10","Widespread","-","Native","-","No","Heywood and Ball (1968); Rosenmeier et al. (2013)","-"
"Estonia","59","26","Present","-","Native","-","No","Heywood and Ball (1968); USDA-ARS (2016)","-"
"France","46","2","Widespread","-","Native","-","-","Heywood and Ball (1968); DAISIE (2016)","-"
"Region Corse","42","9","Restricted distribution","-","Native","-","No","Heywood and Ball (1968)","-"
"Germany","51.5","10.5","Widespread","-","Native","-","-","Heywood and Ball (1968); DAISIE (2016)","-"
"Greece","39","22","Present","-","Native","-","No","Greuter et al. (1984)","-"
"Hungary","47","20","Widespread","-","Native","-","No","Heywood and Ball (1968)","-"
"Ireland","53","-8","Widespread","-","Native","-","No","Heywood and Ball (1968)","-"
"Italy","42.83333","12.83333","Restricted distribution","-","Native","-","No","Heywood and Ball (1968)","-"
"Latvia","57","25","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Liechtenstein","47.16667","9.53333","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Lithuania","56","24","Present","-","-","-","-","-","-"
"Luxembourg","49.75","6.16667","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Macedonia","41.83333","22","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Moldova","47","29","Present","-","-","-","-","-","-"
"Netherlands","52.5","5.75","Widespread","-","Native","-","No","Heywood and Ball (1968)","-"
"Norway","62","10","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Poland","52","20","Restricted distribution","-","Native","-","No","Heywood and Ball (1968)","-"
"Portugal","39.5","-8","Restricted distribution","-","Native","-","No","Heywood and Ball (1968)","-"
"Regiao Autonoma dos Acores","38.5","-28","Present","-","Introduced","-","-","Heywood and Ball (1968)","-"
"Regiao Autonoma da Madeira","32.66667","-16.75","Present","-","Introduced","-","-","Heywood and Ball (1968); DAISIE (2016)","-"
"Romania","46","25","Restricted distribution","-","Introduced","1865","Invasive","Heywood and Ball (1968); Marusca et al. (1999)","-"
"Russia","60","100","Present","-","-","-","-","-","Present based on regional distribution."
"Serbia","44.81892","20.45998","Present","-","Native","-","No","Heywood and Ball (1968); Heywood and Ball (1968)","-"
"Slovakia","48.66667","19.5","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Slovenia","46.25","15.16667","Present","-","Native","-","No","Heywood and Ball (1968)","-"
"Spain","40","-4","Restricted distribution","-","Native","-","-","Heywood and Ball (1968)","-"
"Sweden","62","15","Widespread","-","Native","-","No","Heywood and Ball (1968)","-"
"Switzerland","47.00016","8.01427","Widespread","-","Native","-","No","Heywood and Ball (1968)","-"
"United Kingdom","54","-2","Widespread","-","Native","-","-","Heywood and Ball (1968)","-"
