<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Indonesia","-5","120","Present","-","-","-","-","-","Present based on regional distribution."
"Sumatra","0","102","Present","-","-","-","-","Veldkamp (2008)","-"
"Nepal","28","84","Present","-","-","-","-","Rai and Pradhan (2000)","-"
"Turkey","39.05901","34.91155","Present","-","-","-","-","EPPO (2014)","-"
"Costa Rica","10","-84","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
"Cuba","22","-79.5","Present","-","Introduced","-","Invasive","Oviedo Prieto et al. (2012)","-"
"Nicaragua","13","-85","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
"Puerto Rico","18.24829","-66.49989","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Austria","47.33333","13.33333","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2003)","-"
"Belgium","50.83333","4","Present","-","-","-","-","EPPO (2014)","-"
"France","46","2","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2003); EPPO (2014)","-"
"Germany","51.5","10.5","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2003); EPPO (2014)","-"
"Hungary","47","20","Present","-","-","-","-","EPPO (2014)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2003); EPPO (2014)","-"
"Netherlands","52.5","5.75","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2003); EPPO (2014)","-"
"Russia","60","100","Present","-","-","-","-","EPPO (2014)","-"
"Spain","40","-4","Restricted distribution","-","-","-","-","EPPO (2014); Pulgar and Izco (2005)","-"
"Switzerland","47.00016","8.01427","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2003); EPPO (2014)","-"
"United Kingdom","54","-2","Present","-","Introduced","-","Invasive","Royal Botanic Garden Edinburgh (2003); EPPO (2014)","-"
"Mexico","23","-102","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
"United States","39.76","-98.5","Present","-","-","-","-","-","Present based on regional distribution."
"Alabama","32.75041","-86.75026","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Arizona","34.5003","-111.50098","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Arkansas","34.75037","-92.50044","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Connecticut","41.66704","-72.66648","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Delaware","39.00039","-75.49992","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Florida","28.75054","-82.5001","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Georgia","32.75042","-83.50018","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Hawaii","20.75028","-156.50028","Present","-","Introduced","-","Invasive","HEAR (2002); USDA-NRCS (2002)","-"
"Illinois","40.00032","-89.25037","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Kansas","38.50029","-98.50063","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Kentucky","38.20042","-84.87762","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Louisiana","31.00047","-92.0004","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Maryland","39.00039","-76.74997","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Massachusetts","42.36565","-71.10832","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Mississippi","32.75041","-89.75036","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Missouri","38.25031","-92.50046","Present","-","Introduced","-","Invasive","Missouri Botanical Garden (2003)","-"
"Nebraska","41.50028","-99.75067","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"New Hampshire","43.66702","-71.4998","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"New Jersey","40.16706","-74.49987","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"New Mexico","34.50034","-106.00085","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"New York","43.00035","-75.4999","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"North Carolina","35.50069","-80.00032","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Oklahoma","35.49209","-97.50328","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Oregon","44.00013","-120.50139","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Pennsylvania","40.27245","-76.90567","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"South Carolina","34.00043","-81.00009","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Tennessee","35.75035","-86.25027","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Texas","31.25044","-99.25061","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Utah","39.25024","-111.75103","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Vermont","44.00034","-72.74983","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Virginia","37.54812","-77.44675","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Washington","47.50012","-120.50147","Present","-","Introduced","-","Invasive","USDA-NRCS (2002)","-"
"Australia","-25","135","Present","-","-","-","-","-","Present based on regional distribution."
"State of New South Wales","-33","146","Present","-","Introduced","-","-","Royal Botanic Gardens Sydney (2003)","-"
"State of Tasmania","-42","147","Present","-","Introduced","-","-","Royal Botanic Gardens Sydney (2003)","-"
"State of Victoria","-37","145","Present","-","Introduced","-","-","Royal Botanic Gardens Sydney (2003)","-"
"State of Western Australia","-25","122","Present","-","Introduced","-","-","Royal Botanic Gardens Sydney (2003)","-"
"Cook Islands","-21.217","-159.787","Present","-","Introduced","-","Invasive","HEAR (2002)","-"
"French Polynesia","-15","-140","Present","-","Introduced","-","Invasive","HEAR (2002)","-"
"New Zealand","-42","174","Present","-","Introduced","-","Invasive","HEAR (2002)","-"
"Argentina","-34","-64","Present","-","Native","-","-","Cabrera (1968); EPPO (2014); USDA-ARS (2003)","-"
"Bolivia","-17","-65","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
"Brazil","-10","-55","Restricted distribution","-","Native","-","No","EPPO (2014); Kissmann (1997)","-"
"Estado da Bahia","-12","-42","Present","-","-","-","-","Oliveira et al. (2005)","-"
"Espirito Santo","-5.8","-42.96667","Restricted distribution","-","Native","-","No","-","-"
"Goias","-15.80277","-50.24132","Restricted distribution","-","Native","-","No","-","-"
"Estado de Mato Grosso do Sul","-21","-55","Restricted distribution","-","Native","-","No","-","-"
"Estado de Minas Gerais","-18","-44","Restricted distribution","-","Native","-","No","-","-"
"Parana","-7.81667","-39.68333","Restricted distribution","-","Native","-","No","-","-"
"Estado do Rio de Janeiro","-22","-42.5","Restricted distribution","-","Native","-","No","-","-"
"Estado de Santa Catarina","-27","-50","Present","-","Native","-","-","Missouri Botanical Garden (2003)","-"
"Sao Paulo","-4.78333","-38.76667","Restricted distribution","-","Native","-","No","-","-"
"Chile","-30","-71","Present","-","-","-","-","Lagos et al. (2008)","-"
"Colombia","4","-72","Present","-","Introduced","-","-","Missouri Botanical Garden (2003)","-"
