<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Angola","-12.5","18.5","Restricted distribution","-","Introduced","-","-","Gopal (1987)","-"
"Benin","9.5","2.25","Restricted distribution","-","Introduced","-","-","EPPO (2014)","-"
"Botswana","-22","24","Present","-","Introduced","-","-","Gopal (1987)","-"
"Burkina Faso","13","-2","Present","-","-","-","-","EPPO (2014)","-"
"Burundi","-3.5","30","Present","-","Introduced","-","Invasive","Moorhouse et al. (2001); EPPO (2014)","-"
"Cameroon","6","12","Present","-","-","-","-","EPPO (2014)","-"
"Central African Republic","7","21","Restricted distribution","-","Introduced","-","-","Gopal (1987)","-"
"Congo Democratic Republic","0","25","Widespread","-","Introduced","-","Invasive","Gopal (1987); EPPO (2014); Gopal (1987); EPPO (2014)","-"
"Ivory Coast","8","-5","Restricted distribution","-","Introduced","-","-","Harley (1993); EPPO (2014)","-"
"Egypt","27","30","Widespread","-","Introduced","-","Invasive","Fayad et al. (2001); EPPO (2014)","-"
"Equatorial Guinea","1.7","10.5","Present","-","-","-","-","EPPO (2014)","-"
"Ethiopia","8","38","Restricted distribution","-","Introduced","-","Invasive","Gopal (1987); EPPO (2014)","-"
"Gabon","-1","11.75","Present","-","-","-","-","EPPO (2014)","-"
"Ghana","8.1","-1.2","Restricted distribution","-","Introduced","-","-","EPPO (2014)","-"
"Guinea","11","-10","Present","-","-","-","-","EPPO (2014)","-"
"Guinea-Bissau","12","-15","Present","-","-","-","-","EPPO (2014)","-"
"Kenya","1","38","Widespread","-","Introduced","1989","Invasive","EPPO (2014); IPPC-Secretariat (2005); Mailu (2001); Owiti (1990)","-"
"Liberia","6.5","-9.5","Present","-","-","-","-","EPPO (2014)","-"
"Madagascar","-20","47","Widespread","-","Introduced","-","Invasive","Binggeli (2003); EPPO (2014)","-"
"Malawi","-13.5","34","Widespread","-","Introduced","1960s","Invasive","EPPO (2014); Harley (1993); Phiri et al. (2001)","-"
"Mali","18","-2","Restricted distribution","-","Introduced","-","-","Lomer (1995)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","Invasive","Gopal (1987); EPPO (2014)","-"
"Morocco","32","-5","Present","-","-","-","-","EPPO (2014)","-"
"Mozambique","-18.25","35","Restricted distribution","-","Introduced","-","-","Gopal (1987); EPPO (2014)","-"
"Niger","18","9","Restricted distribution","-","Introduced","-","-","Akinyemiju (1987); Lomer (1995)","-"
"Nigeria","10","8","Restricted distribution","-","Introduced","-","Invasive","Akinyemiju (1987); EPPO (2014)","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","Invasive","Gopal (1987); EPPO (2014)","-"
"Rodriguez Island","-19.700132","63.415517","Present","-","Introduced","-","-","Royal Botanic Gardens Kew (2012)","-"
"Rwanda","-2","30","Widespread","-","Introduced","-","Invasive","Harley (1993); EPPO (2014)","-"
"Senegal","14","-14","Restricted distribution","-","Introduced","-","-","Gopal (1987); EPPO (2014)","-"
