<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"China","35","105","Present","-","Introduced","1980","-","Xu et al. (2007)","-"
"Japan","35.68536","139.75309","Widespread","2004","Introduced","1961","Invasive","Kadono (2004)","-"
"Hokkaido","43.06451","141.3466","Widespread","2004","Introduced","-","Invasive","Kadono (2004)","-"
"Austria","47.33333","13.33333","Present","-","Introduced","1970","-","NOBANIS (2010); EPPO (2014)","-"
"Belgium","50.83333","4","Present","-","Introduced","1939","-","DAISIE (2009); EPPO (2014); NOBANIS (2010)","-"
"Czech Republic","49.75","15","Present","-","Introduced","1988","-","DAISIE (2009)","-"
"Denmark","56","10","Present","-","Introduced","-","-","DAISIE (2009); EPPO (2014); NOBANIS (2010)","-"
"Finland","64","26","Present","-","-","-","-","EPPO (2014)","-"
"France","46","2","Present","-","Introduced","1973","-","DAISIE (2009); EPPO (2014)","-"
"Germany","51.5","10.5","Widespread","-","Introduced","-","-","DAISIE (2009); EPPO (2014); NOBANIS (2010)","-"
"Hungary","47","20","Present","-","Introduced","-","-","DAISIE (2009); Mesterházy et al. (2009)","-"
"Ireland","53","-8","Present","-","Introduced","-","-","DAISIE (2009); EPPO (2014); NOBANIS (2010)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","DAISIE (2009)","-"
"Luxembourg","49.75","6.16667","Present","-","Introduced","-","-","DAISIE (2009)","-"
"Netherlands","52.5","5.75","Present","-","Introduced","1941","-","DAISIE (2009); EPPO (2014)","-"
"Norway","62","10","Present","-","-","-","-","EPPO (2014)","-"
"Poland","52","20","Present","-","Introduced","-","-","NOBANIS (2010)","-"
"Romania","46","25","Present","-","Introduced","-","-","DAISIE (2009); Sârbu et al. (2006)","-"
"Slovakia","48.66667","19.5","Present","-","Introduced","-","-","DAISIE (2009); Ot'ahel'ová and Valachovic (2002)","-"
"Slovenia","46.25","15.16667","Present","-","Introduced","-","-","Grudnik et al. (2014)","-"
"Sweden","62","15","Present","-","Introduced","-","-","DAISIE (2009); NOBANIS (2010)","-"
"Switzerland","47.00016","8.01427","Present","-","Introduced","-","-","DAISIE (2009); EPPO (2014)","-"
"United Kingdom","54","-2","Present","-","Introduced","-","-","DAISIE (2009); EPPO (2014)","-"
"Canada","60.10867","-113.64258","Present","-","-","-","-","-","Present based on regional distribution."
"British Columbia","53.99983","-125.0032","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Manitoba","55.00019","-97.00049","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"New Brunswick","46.5001","-65.99878","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Newfoundland and Labrador","52","-56","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Ontario","49.25014","-84.49983","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Quebec","52.00017","-71.99907","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"United States","39.76","-98.5","Present","-","-","-","-","EPPO (2014)","-"
"Alabama","32.75041","-86.75026","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Arkansas","34.75037","-92.50044","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"California","37.25022","-119.75126","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Colorado","39.00027","-105.50083","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Connecticut","41.66704","-72.66648","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Delaware","39.00039","-75.49992","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Idaho","44.5002","-114.25118","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Illinois","40.00032","-89.25037","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Indiana","40.00032","-86.25027","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Iowa","42.00027","-93.50049","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Kansas","38.50029","-98.50063","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Kentucky","38.20042","-84.87762","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Maine","45.50032","-69.24977","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Maryland","39.00039","-76.74997","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Massachusetts","42.36565","-71.10832","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Michigan","44.25029","-85.50033","Present","-","Native","-","No","USDA-NRCS (2009)","-"
