<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"China","35","105","Present","-","Native","-","No","USDA-ARS (2003); EPPO (2014)","-"
"Anhui Sheng","32","117","Present","-","Native","-","No","Kim and Park (2000); EPPO (2014)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Native","-","No","Kim and Park (2000); EPPO (2014)","-"
"Guangdong Sheng","23","113","Present","-","Native","-","No","Kim and Park (2000); EPPO (2014)","-"
"Henan Sheng","34","114","Present","-","Native","-","No","Kim and Park (2000); EPPO (2014)","-"
"Hubei Sheng","31","112","Present","-","Native","-","No","Kim and Park (2000); EPPO (2014)","-"
"Jiangsu Sheng","33","120","Present","-","Native","-","No","Kim and Park (2000); EPPO (2014)","-"
"Jiangxi Sheng","28","116","Present","-","Native","-","No","Kim and Park (2000); EPPO (2014)","-"
"Zhejiang Sheng","29","120","Present","-","Native","-","No","Kim and Park (2000); EPPO (2014)","-"
"Japan","35.68536","139.75309","Present","-","-","-","-","EPPO (2014)","-"
"Hokkaido","43.06451","141.3466","Present","-","Native","-","No","USDA-ARS (2003); EPPO (2014)","-"
"Honshu","36","138","Widespread","-","Native","-","No","Bailey (2003); EPPO (2014); USDA-ARS (2003)","-"
"Kyushu","33","131","Widespread","-","Native","-","No","Bailey (2003); EPPO (2014); USDA-ARS (2003)","-"
"Shikoku","33.75","133.5","Present","-","Native","-","No","Bailey (2003); EPPO (2014); USDA-ARS (2003)","-"
"Taiwan","24","121","Present","-","Native","-","No","EPPO (2014); Kuo (1996); USDA-ARS (2003)","-"
"Austria","47.33333","13.33333","Present","-","Introduced","-","Invasive","Jalas and Suominen (1979); EPPO (2014)","-"
"Belgium","50.83333","4","Widespread","-","Introduced","-","Invasive","Belgian Forum on Invasive Alien Species (2013); EPPO (2014)","-"
"Bulgaria","43","25","Present","-","Introduced","-","-","Jalas and Suominen (1979); Beerling and Bailey (1994); EPPO (2014)","-"
"Croatia","45.16667","15.5","Present","-","Introduced","-","-","Carnet (2003); EPPO (2014)","-"
"Cyprus","35","33","Present","-","-","-","-","EPPO (2014)","-"
"Czech Republic","49.75","15","Widespread","-","Introduced","1892","Invasive","Pysek and Prach (1993); EPPO (2014); Mandák et al. (2004)","-"
"Denmark","56","10","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Estonia","59","26","Present","-","-","-","-","EPPO (2014)","-"
"Finland","64","26","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"France","46","2","Widespread","-","Introduced","-","Invasive","Jalas and Suominen (1979); EPPO (2014)","-"
"Region Corse","42","9","Present","-","-","-","-","EPPO (2014)","-"
"Germany","51.5","10.5","Widespread","-","Introduced","-","Invasive","Jalas and Suominen (1979); EPPO (2014)","-"
"Hungary","47","20","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Ireland","53","-8","Present","-","Introduced","-","Invasive","Reynolds (1998); EPPO (2014)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","Bailey (2003); EPPO (2014)","-"
"Latvia","57","25","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Lithuania","56","24","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Luxembourg","49.75","6.16667","Present","-","Introduced","-","-","Van Rompaey & Delvosalle, 1979; EPPO (2014)","-"
"Macedonia","41.83333","22","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Netherlands","52.5","5.75","Widespread","-","Introduced","-","Invasive","EPPO (2014); Mennema and Quene-Boterenbrood (1985); Q-bank (2013)","-"
"Norway","62","10","Widespread","-","Introduced","-","Invasive","Fremstad, 1997; EPPO (2014)","-"
"Poland","52","20","Widespread","-","Introduced","-","Invasive","Stypinski (1977); EPPO (2014)","-"
"Portugal","39.5","-8","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Romania","46","25","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Russia","60","100","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Serbia","44.81892","20.45998","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Slovakia","48.66667","19.5","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Slovenia","46.25","15.16667","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Spain","40","-4","Present","-","Introduced","-","Invasive","Izco (1974); EPPO (2014)","-"
"Sweden","62","15","Present","-","Introduced","-","-","Jalas and Suominen (1979); EPPO (2014)","-"
"Switzerland","47.00016","8.01427","Present","-","Introduced","-","Invasive","Landolt (1991); EPPO (2014)","-"
"United Kingdom","54","-2","Widespread","-","Introduced","1850","Invasive","Conolly (1977); EPPO (2014)","-"
"Canada","60.10867","-113.64258","Widespread","-","-","-","-","EPPO (2014)","-"
"British Columbia","53.99983","-125.0032","Present","-","Introduced","-","Invasive","AAC (2003); EPPO (2014)","-"
"Manitoba","55.00019","-97.00049","Present","-","Introduced","-","Invasive","AAC (2003); EPPO (2014)","-"
"New Brunswick","46.5001","-65.99878","Present","-","Introduced","-","Invasive","AAC (2003); EPPO (2014)","-"
"Newfoundland and Labrador","52","-56","Present","-","Introduced","-","Invasive","AAC (2003); EPPO (2014)","-"
"Nova Scotia","45.00015","-62.99865","Present","-","Introduced","-","Invasive","AAC (2003); EPPO (2014)","-"
"Ontario","49.25014","-84.49983","Present","-","Introduced","-","Invasive","AAC (2003); EPPO (2014)","-"
"Prince Edward Island","46.50011","-62.99868","Present","-","Introduced","-","Invasive","AAC (2003); EPPO (2014)","-"
"Quebec","52.00017","-71.99907","Present","-","Introduced","-","Invasive","AAC (2003); EPPO (2014)","-"
"United States","39.76","-98.5","Widespread","-","-","-","-","EPPO (2014)","-"
"Alaska","64.00028","-150.00028","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Arkansas","34.75037","-92.50044","Present, few occurrences","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"California","37.25022","-119.75126","Restricted distribution","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Colorado","39.00027","-105.50083","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Connecticut","41.66704","-72.66648","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Delaware","39.00039","-75.49992","Present","-","Introduced","-","Invasive","USDA-NRCS (2002); EPPO (2014)","-"
"Georgia","32.75042","-83.50018","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Idaho","44.5002","-114.25118","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Illinois","40.00032","-89.25037","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Indiana","40.00032","-86.25027","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Iowa","42.00027","-93.50049","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Kansas","38.50029","-98.50063","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Kentucky","38.20042","-84.87762","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Louisiana","31.00047","-92.0004","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Maine","45.50032","-69.24977","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Maryland","39.00039","-76.74997","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Massachusetts","42.36565","-71.10832","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Michigan","44.25029","-85.50033","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Minnesota","46.25024","-94.25055","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Mississippi","32.75041","-89.75036","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Missouri","38.25031","-92.50046","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Montana","47.00025","-109.75102","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Nebraska","41.50028","-99.75067","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"New Hampshire","43.66702","-71.4998","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"New Jersey","40.16706","-74.49987","Present","-","Introduced","-","Invasive","Seiger (1991); EPPO (2014)","-"
"New York","43.00035","-75.4999","Present","-","Introduced","-","Invasive","USDA-NRCS (2002); EPPO (2014)","-"
"North Carolina","35.50069","-80.00032","Widespread","-","Introduced","-","Invasive","Patterson (1976); EPPO (2014)","-"
"Ohio","40.25034","-83.00018","Present","-","Introduced","-","Invasive","ODNR (2003); EPPO (2014)","-"
"Oklahoma","35.49209","-97.50328","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Oregon","44.00013","-120.50139","Widespread","-","Introduced","-","Invasive","Seiger, 1997; EPPO (2014)","-"
"Pennsylvania","40.27245","-76.90567","Widespread","-","Introduced","-","Invasive","Seiger, 1997; EPPO (2014)","-"
"Rhode Island","41.75038","-71.49978","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"South Carolina","34.00043","-81.00009","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"South Dakota","44.50026","-100.25069","Present","-","Introduced","-","-","USDA-NRCS (2008)","-"
"Tennessee","35.75035","-86.25027","Widespread","-","Introduced","-","Invasive","TEPPC (1997); EPPO (2014)","-"
"Utah","39.25024","-111.75103","Present","-","Introduced","-","Invasive","USDA-NRCS (2002); EPPO (2014)","-"
"Vermont","44.00034","-72.74983","Present","-","Introduced","-","Invasive","USDA-NRCS (2002); EPPO (2014)","-"
"Virginia","37.54812","-77.44675","Widespread","-","Introduced","-","Invasive","USDA-NRCS (2002); EPPO (2014)","-"
"Washington","47.50012","-120.50147","Widespread","-","Introduced","-","Invasive","Hickman (1993); EPPO (2014)","-"
"West Virginia","38.50038","-80.50009","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Wisconsin","44.50024","-90.00041","Present","-","Introduced","-","-","USDA-NRCS (2002); EPPO (2014)","-"
"Australia","-25","135","Present","-","-","-","-","EPPO (2014)","-"
"State of New South Wales","-33","146","Present","-","Introduced","-","Invasive","Ainsworth et al. (2002); EPPO (2014)","-"
"State of Tasmania","-42","147","Present","-","Introduced","-","Invasive","Ainsworth et al. (2002); EPPO (2014)","-"
"State of Victoria","-37","145","Present","-","Introduced","-","Invasive","Ainsworth et al. (2002); EPPO (2014)","-"
"New Zealand","-42","174","Present","-","Introduced","1935","Invasive","Bailey (2003); EPPO (2014)","-"
"Chile","-30","-71","Present","-","Introduced","-","-","Saldaña et al. (2009)","-"
