<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Iran","32","53","Present","-","-","-","-","EPPO (2014)","-"
"Turkey","39.05901","34.91155","Present","-","-","-","-","EPPO (2014)","-"
"Austria","47.33333","13.33333","Restricted distribution","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Belgium","50.83333","4","Restricted distribution","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Czech Republic","49.75","15","Widespread","-","Introduced","1862","Invasive","EPPO (2014); Pergl et al. (2012); Pysek (1994); Tiley et al. (1996)","-"
"Denmark","56","10","Widespread","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Estonia","59","26","Restricted distribution","-","-","-","-","EPPO (2014)","As HERMZ (Heracleum mantegazzianum)"
"Finland","64","26","Localised","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"France","46","2","Widespread","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Germany","51.5","10.5","Widespread","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Hungary","47","20","Localised","-","Introduced","1962","Invasive","Brummitt (1968); EPPO (2014); Pysek (1994); Tiley et al. (1996)","-"
"Iceland","65","-18","Present","-","Introduced","-","-","Jahodová et al. (2007a)","-"
"Ireland","53","-8","Widespread","-","Introduced","1800s","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Italy","42.83333","12.83333","Localised","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Latvia","57","25","Restricted distribution","-","Introduced","-","-","Brummitt (1968); EPPO (2014); Fowler et al. (1991)","-"
"Liechtenstein","47.16667","9.53333","Localised","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Netherlands","52.5","5.75","Localised","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Norway","62","10","Widespread","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Poland","52","20","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Russia","60","100","Localised","-","Native","-","-","EPPO (2014); Korovin et al. (1951)","-"
"Slovakia","48.66667","19.5","Widespread","-","Introduced","-","Invasive","EPPO (2014); Tiley et al. (1996)","-"
"Sweden","62","15","Widespread","-","Introduced","1800s","Invasive","EPPO (2014); Lundstrom (1984); Tiley et al. (1996)","-"
"Switzerland","47.00016","8.01427","Widespread","-","Introduced","-","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"United Kingdom","54","-2","Restricted distribution","-","Introduced","1817","Invasive","Brummitt (1968); EPPO (2014); Tiley et al. (1996)","-"
"Canada","60.10867","-113.64258","Localised","-","Introduced","1944","Invasive","Page et al. (2006); EPPO (2014); Tiley et al. (1996)","Increasingly common in southwestern British Columbia and southern Ontario"
"British Columbia","53.99983","-125.0032","Present","-","-","-","-","EPPO (2014); Dawe and White (1979); Morton (1975); Page et al. (2006)","-"
"New Brunswick","46.5001","-65.99878","Present","-","Introduced","2000","-","Page et al. (2006)","-"
"Nova Scotia","45.00015","-62.99865","Present","-","Introduced","1980","-","Page et al. (2006)","-"
"Ontario","49.25014","-84.49983","Widespread","-","Introduced","1949","Invasive","Page et al. (2006)","-"
"Quebec","52.00017","-71.99907","Present","-","Introduced","1990","-","Page et al. (2006)","-"
"United States","39.76","-98.5","Localised","-","Introduced","-","Invasive","USDA-NRCS (2007); EPPO (2014); Tiley et al. (1996)","-"
"District of Columbia","38.91706","-77.00025","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Florida","28.75054","-82.5001","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Illinois","40.00032","-89.25037","Localised","-","Introduced","-","-","USDA-NRCS (2007)","-"
"Indiana","40.00032","-86.25027","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Maine","45.50032","-69.24977","Localised","-","Introduced","1981","Invasive","USDA-NRCS (2007); EPPO (2014)","-"
"Maryland","39.00039","-76.74997","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Massachusetts","42.36565","-71.10832","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Michigan","44.25029","-85.50033","Localised","-","Introduced","1992","Invasive","USDA-NRCS (2007); Case and Beaman (1992); EPPO (2014)","-"
"New York","43.00035","-75.4999","Widespread","-","Introduced","1981","Invasive","USDA-NRCS (2007); Berenbaum (1981); EPPO (2014); PLANTS (2002)","-"
"North Carolina","35.50069","-80.00032","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Oregon","44.00013","-120.50139","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Pennsylvania","40.27245","-76.90567","Localised","-","Introduced","-","Invasive","EPPO (2014); USDA-NRCS (2007)","-"
"Vermont","44.00034","-72.74983","Localised","-","Introduced","-","-","EPPO (2014); Westbrooks (1991)","-"
"Washington","47.50012","-120.50147","Widespread","-","Introduced","1953","Invasive","EPPO (2014); Morton (1975); USDA-NRCS (2007)","-"
"Australia","-25","135","Localised","-","Introduced","-","-","EPPO (2014); Westbrooks (1991)","-"
"State of South Australia","-30","135","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"State of Tasmania","-42","147","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"New Zealand","-42","174","Present","-","Introduced","-","-","Weber (2003)","-"
