<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Kenya","1","38","Present","-","Introduced","-","-","PROTA (2014)","-"
"Lesotho","-29.5","28.25","Present","-","Introduced","-","-","PROTA (2014)","-"
"Mozambique","-18.25","35","Present","-","Introduced","-","-","PROTA (2014)","-"
"Namibia","-22","17","Present","-","Introduced","-","Invasive","Bethune et al. (2004)","-"
"South Africa","-29","24","Present","-","Introduced","-","Invasive","Foxcroft et al. (2007)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","Invasive","DAISIE (2014)","-"
"Swaziland","-26.5","31.5","Present","-","Introduced","-","-","PROTA (2014)","-"
"Tanzania","-6","35","Present","-","Introduced","-","-","PROTA (2014)","-"
"Uganda","2","33","Present","-","Introduced","-","-","PROTA (2014)","-"
"Zambia","-15","30","Present","-","Introduced","-","-","PROTA (2014)","-"
"Zimbabwe","-19","29","Present","-","Introduced","-","-","PROTA (2014)","-"
"China","35","105","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","Occurring in most provinces of China"
"Anhui Sheng","32","117","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Beijing Shi","39.91691","116.39706","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Fujian Sheng","26.545","117.84278","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Gansu Sheng","38","102","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Guangdong Sheng","23","113","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Guizhou Sheng","27","107","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Hainan Sheng","19.2","109.6","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Hebei Sheng","39","116","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Heilongjiang Sheng","48","128","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Henan Sheng","34","114","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Hubei Sheng","31","112","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Hunan Sheng","28","112","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Jiangsu Sheng","33","120","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Jiangxi Sheng","28","116","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Jilin Sheng","43","126","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Liaoning Sheng","41","123","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Ningxia Huizu Zizhiqu","37","106","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Qinghai Sheng","36","96","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Shaanxi","36","109","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Shandong Sheng","36","119","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Shanghai Shi","31.23333","121.46667","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Shanxi Sheng","37","112","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
"Sichuan Sheng","30.5","102.5","Widespread","-","Introduced","-","Invasive","Flora of China Editorial Committee (2014)","-"
