<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Angola","-12.5","18.5","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Benin","9.5","2.25","Present","-","Introduced","-","-","CABI (2005)","-"
"Botswana","-22","24","Present","-","Introduced","-","Invasive","Buss (2002)","-"
"Burkina Faso","13","-2","Present","-","Introduced","-","-","ISSG (2010)","-"
"Burundi","-3.5","30","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Cameroon","6","12","Present","-","Introduced","-","Invasive","Hughes (1998a); Hughes (1998b); ILDIS (2007)","-"
"Cape Verde","15.08","-23.63","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Central African Republic","7","21","Present","-","Introduced","-","-","ISSG (2010)","-"
"Chad","15","19","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Comoros","-11.636","43.338","Present","-","Introduced","-","Invasive","ILDIS (2007)","-"
"Republic of the Congo","-1","15","Present","-","Introduced","-","Invasive","CABI (2005)","-"
"Congo Democratic Republic","0","25","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Ivory Coast","8","-5","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Djibouti","11.5","42.5","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Egypt","27","30","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Equatorial Guinea","1.7","10.5","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Eritrea","15","39","Present","-","Introduced","-","-","World Agroforestry Centre (2002)","-"
"Ethiopia","8","38","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Gabon","-1","11.75","Present","-","Introduced","-","-","CABI (2005)","-"
"Gambia","13.5","-15.5","Present","-","Introduced","-","-","CABI (2005)","-"
"Ghana","8.1","-1.2","Present","-","Introduced","-","Invasive","Holm et al. (1979); ILDIS (2007)","-"
"Guinea","11","-10","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Guinea-Bissau","12","-15","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Kenya","1","38","Present","-","Introduced","-","Invasive","Cronk and Fuller (1995); ILDIS (2007)","-"
"Lesotho","-29.5","28.25","Present","-","Introduced","-","-","CABI (2005)","-"
"Liberia","6.5","-9.5","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Madagascar","-20","47","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Malawi","-13.5","34","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Mali","18","-2","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","Invasive","Hughes (1998a); Hughes (1998b); ILDIS (2007)","-"
"Morocco","32","-5","Present","-","Introduced","-","-","ISSG (2010)","-"
"Mozambique","-18.25","35","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Namibia","-22","17","Present","-","Introduced","-","Invasive","CABI (2005)","-"
"Niger","18","9","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Nigeria","10","8","Present","-","Introduced","-","-","ILDIS (2007)","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","Invasive","Hughes (1998a); Hughes (1998b); Macdonald et al. (1991)","-"
"Rodriguez Island","-19.700132","63.415517","Present","-","Introduced","-","Invasive","Hughes (1998a); Hughes (1998b); ILDIS (2007)","-"
"Rwanda","-2","30","Present","-","Introduced","-","-","CABI (2005)","-"
"Saint Helena","-15.95","-5.7","Present","-","Introduced","-","-","ISSG (2010)","-"
"Sao Tome and Principe","0.246","6.61","Present","-","Introduced","-","-","ILDIS (2007)","-"
