<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Costa Rica","10","-84","Present","-","-","-","-","GBIF (2009)","-"
"Guatemala","15.5","-90.25","Present","-","Native","-","-","USDA-ARS (2009)","-"
"France","46","2","Widespread","-","Introduced","1830","Invasive","Dandelot et al. (2005)","-"
"Germany","51.5","10.5","Present","-","Introduced","2004","Invasive","Nehring and Kolthoff (2011)","-"
"Netherlands","52.5","5.75","Present","-","Introduced","-","-","GBIF (2009)","-"
"Spain","40","-4","Present","-","Introduced","-","-","Carretero (1990)","-"
"Switzerland","47.00016","8.01427","Localised","-","Introduced","2002","-","EPPO (2004)","-"
"Mexico","23","-102","Present","-","-","-","-","GBIF (2009)","-"
"United States","39.76","-98.5","Present","-","-","-","-","-","Present based on regional distribution."
"Alabama","32.75041","-86.75026","Present","-","-","-","Invasive","McGregor et al. (1996)","-"
"Arkansas","34.75037","-92.50044","Present","-","-","-","-","GBIF (2009)","-"
"California","37.25022","-119.75126","Localised","-","Introduced","-","Invasive","Okada et al. (2009)","-"
"District of Columbia","38.91706","-77.00025","Present","-","-","-","-","GBIF (2009)","-"
"Florida","28.75054","-82.5001","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Georgia","32.75042","-83.50018","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Hawaii","20.75028","-156.50028","Present","-","-","-","-","GBIF (2009)","-"
"Kentucky","38.20042","-84.87762","Present","-","Introduced","-","Invasive","McGregor et al. (1996)","First collected 1988"
"Louisiana","31.00047","-92.0004","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Mississippi","32.75041","-89.75036","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Missouri","38.25031","-92.50046","Present","-","-","-","-","GBIF (2009)","-"
"New Jersey","40.16706","-74.49987","Present","-","-","-","-","GBIF (2009)","-"
"New York","43.00035","-75.4999","Present","-","-","-","-","GBIF (2009)","-"
"North Carolina","35.50069","-80.00032","Present","-","-","-","Invasive","GBIF (2009)","-"
"Oklahoma","35.49209","-97.50328","Present","-","-","-","-","GBIF (2009)","-"
"Oregon","44.00013","-120.50139","Present","-","-","-","-","GBIF (2009)","-"
"Pennsylvania","40.27245","-76.90567","Present","-","-","-","-","GBIF (2009)","-"
"South Carolina","34.00043","-81.00009","Present","-","Native","-","Invasive","USDA-ARS (2009)","-"
"Tennessee","35.75035","-86.25027","Present","-","Introduced","-","Invasive","McGregor et al. (1996)","First collected 1968"
"Texas","31.25044","-99.25061","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Virginia","37.54812","-77.44675","Present","-","-","-","-","GBIF (2009)","-"
"Washington","47.50012","-120.50147","Present","-","-","-","Invasive","GBIF (2009)","-"
"West Virginia","38.50038","-80.50009","Present","-","-","-","-","GBIF (2009)","-"
"Argentina","-34","-64","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Bolivia","-17","-65","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Brazil","-10","-55","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Goias","-15.80277","-50.24132","Present","-","-","-","-","GBIF (2009)","-"
"Para","-7.84083","-36.37222","Present","-","-","-","-","GBIF (2009)","-"
"Estado do Rio Grande do Sul","-30","-54","Present","-","-","-","-","GBIF (2009)","-"
"Estado de Santa Catarina","-27","-50","Present","-","-","-","-","GBIF (2009)","-"
"Sao Paulo","-4.78333","-38.76667","Present","-","-","-","-","GBIF (2009)","-"
"Colombia","4","-72","Present","-","Native","-","-","GBIF (2009)","-"
"Ecuador","-2","-77.5","Present","-","Native","-","-","GBIF (2009)","-"
"Paraguay","-22.99333","-57.99639","Present","-","Native","-","-","GBIF (2009); USDA-ARS (2009)","-"
"Uruguay","-33","-56","Present","-","Native","-","-","USDA-ARS (2009)","-"
