<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Botswana","-22","24","Present","-","Introduced","-","-","Child (1992)","-"
"Lesotho","-29.5","28.25","Present","-","Introduced","-","-","Ramoeli (1995)","-"
"Madagascar","-20","47","Present","-","Introduced","-","-","Orchard (1981); EPPO (2014)","-"
"South Africa","-29","24","Widespread","-","-","-","-","Cook (2004); EPPO (2014); Jacot-Guillarmod (1977); Mitchell et al. (1993)","-"
"Zambia","-15","30","Present","-","Introduced","-","Invasive","ECZ (2004)","In sewage settling ponds at Livingstone"
"Zimbabwe","-19","29","Present","-","Introduced","-","-","Orchard (1981); Chikwenhere (1994); Chikwenhere (2001); EPPO (2014)","-"
"Cambodia","13","105","Present","-","Introduced","-","-","Holm et al. (1991); EPPO (2014)","-"
"China","35","105","Present","-","Introduced","-","-","Yu et al. (2002, publ. 2003)","-"
"Indonesia","-5","120","Restricted distribution","-","-","-","-","EPPO (2014)","-"
"Java","-7.49167","110.00444","Present","-","Introduced","-","-","Orchard (1981); EPPO (2014)","-"
"Israel","31.5","34.75","Present, few occurrences","-","-","-","-","EPPO (2014)","-"
"Japan","35.68536","139.75309","Present","-","Introduced","-","-","Orchard (1981); EPPO (2014); Kadono (2004); Muranaka et al. (2005); Shibayama (1988)","-"
"Malaysia","2.5","112.5","Present","-","Introduced","-","-","Orchard (1981); EPPO (2014)","-"
"Philippines","12.38","123.45","Present","-","Introduced","-","-","Orchard (1981); EPPO (2014)","-"
"Taiwan","24","121","Present","-","-","-","-","Li and Hsieh (1996)",""Nearly naturalized""
"Thailand","15","100","Present","-","Introduced","-","-","Holm et al. (1991); EPPO (2014)","-"
"Vietnam","16.16667","107.83333","Present","-","Introduced","-","-","Holm et al. (1991); EPPO (2014)","-"
"Costa Rica","10","-84","Present","-","-","-","-","EPPO (2014)","-"
"Nicaragua","13","-85","Present","-","Introduced","-","-","Orchard (1981); EPPO (2014)","-"
"Austria","47.33333","13.33333","Present, few occurrences","-","Introduced","-","-","Orchard (1981); EPPO (2014)","-"
"France","46","2","Restricted distribution","-","-","-","-","Dutartre (1986); EPPO (2014); Orchard (1981); Peltre et al. (2002)","-"
"Region Corse","42","9","Present, few occurrences","-","-","-","-","EPPO (2014)","-"
