<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Botswana","-22","24","Present","-","Introduced","-","No","GBIF (2013)","-"
"Kenya","1","38","Present","-","Introduced","-","Invasive","USDA-ARS (2013)","-"
"Madagascar","-20","47","Present","-","Introduced","-","-","Missouri Botanical Garden (2013)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Morocco","32","-5","Present","-","Introduced","-","-","GBIF (2013)","-"
"Nigeria","10","8","Present","-","Introduced","-","-","GBIF (2013)","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Saint Helena","-15.95","-5.7","Present","-","Introduced","-","-","GBIF (2013)","-"
"Seychelles","-4.682","55.483","Present","-","Introduced","-","-","GBIF (2013)","-"
"Sierra Leone","8.5","-11.5","Present","-","Introduced","-","-","GBIF (2013)","-"
"Somalia","6","48","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"South Africa","-29","24","Present","-","Introduced","-","Invasive","USDA-ARS (2013)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Tanzania","-6","35","Present","-","Introduced","-","Invasive","USDA-ARS (2013)","-"
"Tunisia","34","9","Present","-","Introduced","-","-","GBIF (2013)","-"
"Bhutan","27.5","90.5","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"China","35","105","Present","-","Introduced","-","Invasive","PIER (2013)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","-","-","Flora of China (2013)","-"
"Guangdong Sheng","23","113","Present","-","Introduced","-","-","Flora of China (2013)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Introduced","-","-","Flora of China (2013)","-"
"Yunnan Sheng","25","102","Present","-","Introduced","-","-","Flora of China (2013)","-"
"India","20","77","Present","-","Introduced","-","Invasive","USDA-ARS (2013)","-"
"Indonesia","-5","120","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Java","-7.49167","110.00444","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Lebanon","33.83333","35.83333","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Nepal","28","84","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Pakistan","30","70","Present","-","Introduced","-","-","GBIF (2013)","-"
"Philippines","12.38","123.45","Present","-","Introduced","-","Invasive","PIER (2013); USDA-ARS (2013)","-"
"Sri Lanka","7","81","Present","-","Introduced","-","-","GBIF (2013)","-"
"Syria","35","38","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Taiwan","24","121","Present","-","Introduced","-","Invasive","PIER (2013); USDA-ARS (2013)","-"
"Thailand","15","100","Present","-","Introduced","-","-","GBIF (2013)","-"
"Vietnam","16.16667","107.83333","Present","-","Introduced","-","-","GBIF (2013)","-"
"El Salvador","13.83333","-88.91667","Present","-","Introduced","-","-","GBIF (2013)","-"
"Guadeloupe","16.25","-61.58333","Present","-","Introduced","-","-","GBIF (2013)","-"
"Nicaragua","13","-85","Present","-","Introduced","-","-","GBIF (2013)","-"
"Panama","9","-80","Present","-","Introduced","-","-","GBIF (2013)","-"
"France","46","2","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","GBIF (2013)","-"
"Spain","40","-4","Present","-","-","-","-","-","Present based on regional distribution."
"Mexico","23","-102","Present","-","Introduced","-","-","GBIF (2013)","-"
"United States","39.76","-98.5","Present","-","Introduced","-","-","USDA-NRCS (2013)","-"
"Alabama","32.75041","-86.75026","Present","-","Introduced","-","-","USDA-NRCS (2013)","-"
"Florida","28.75054","-82.5001","Present","-","Introduced","-","-","USDA-NRCS (2013)","-"
"Georgia","32.75042","-83.50018","Present","-","Introduced","-","-","USDA-NRCS (2013)","-"
"Hawaii","20.75028","-156.50028","Present","-","Introduced","-","Invasive","PIER (2013); USDA-ARS (2013); USDA-NRCS (2013)","-"
"Louisiana","31.00047","-92.0004","Present","-","Introduced","-","-","USDA-NRCS (2013)","-"
"Mississippi","32.75041","-89.75036","Present","-","Introduced","-","-","USDA-NRCS (2013)","-"
"Australia","-25","135","Present","-","Introduced","-","Invasive","PIER (2013)","-"
"State of Queensland","-20","145","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Cook Islands","-21.217","-159.787","Present","-","Introduced","-","No","PIER (2013)","-"
"Fiji","-18","178","Present","-","Introduced","-","Invasive","PIER (2013)","As. O. vulgaris"
"Guam","13.481","144.7315","Present","-","Introduced","-","No","PIER (2013)","-"
"Marshall Islands","7.103","171.155","Present","-","Introduced","-","No","PIER (2013)","-"
"Nauru","-0.517","166.933","Present","-","Introduced","-","No","PIER (2013)","-"
"New Caledonia","-21.5","165.5","Present","-","Introduced","-","Invasive","PIER (2013)","As. O. vulgaris"
