<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Eritrea","15","39","Present","-","Introduced","-","-","ISSG (2010)","-"
"Ethiopia","8","38","Present","-","Introduced","-","-","ISSG (2010)","-"
"Madagascar","-20","47","Widespread","-","Introduced","-","Invasive","Middleton (1999); Missouri Botanical Garden (2007)","-"
"Morocco","32","-5","Restricted distribution","-","Introduced","-","Invasive","Le Houérou (2002)","-"
"Namibia","-22","17","Widespread","-","Introduced","-","Invasive","Brown and Gubb (1986)","-"
"South Africa","-29","24","Widespread","-","Introduced","-","Invasive","Henderson (2001)","-"
"Swaziland","-26.5","31.5","Present","-","Introduced","-","-","ISSG (2010)","-"
"Tunisia","34","9","Restricted distribution","-","Introduced","-","Invasive","Le Houérou (2002)","-"
"China","35","105","Restricted distribution","-","Introduced","-","-","Flora of China Editorial Committee (2007)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","-","-","Flora of China Editorial Committee (2007)","-"
"Guangdong Sheng","23","113","Present","-","Introduced","-","-","Flora of China Editorial Committee (2007)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Introduced","-","-","Flora of China Editorial Committee (2007)","-"
"Hainan Sheng","19.2","109.6","Present","-","Introduced","-","-","Flora of China Editorial Committee (2007)","-"
"India","20","77","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2007); Middleton (1999)","-"
"Sri Lanka","7","81","Present","-","Introduced","-","-","Missouri Botanical Garden (2007)","-"
"Yemen","15.5","47.5","Widespread","-","Introduced","-","Invasive","Ellenberg (1982)","-"
"Bahamas","24.636","-78.055","Present","-","Native","-","-","Missouri Botanical Garden (2007); USDA-ARS (2007)","-"
"Barbados","13.16667","-59.53333","Present","-","Native","-","-","USDA-ARS (2007)","-"
"British Virgin Islands","18.423","-64.618","Present","-","Native","-","-","USDA-ARS (2007)","-"
"Cayman Islands","19.319","-81.24","Present","-","Native","-","-","USDA-ARS (2007)","-"
"Cuba","22","-79.5","Present","-","Introduced","-","Invasive","Oviedo Prieto et al. (2012); Hernandez and Emmel (1993); USDA-ARS (2007)","var. stricta"
"Dominican Republic","19","-70.66667","Present","-","Native","-","-","USDA-ARS (2007)","-"
"Grenada","12.11667","-61.66667","Present","-","Native","-","-","USDA-ARS (2007)","-"
"Jamaica","18.25","-77.5","Present","-","Native","-","-","USDA-ARS (2007)","-"
"Montserrat","16.75","-62.2","Widespread","-","Native","-","Invasive","Simmonds and Bennett (1966)","-"
"Netherlands Antilles","12.209838","-68.262836","Present","-","Native","-","-","USDA-ARS (2007)","-"
"Puerto Rico","18.24829","-66.49989","Present","-","Native","-","Invasive","Missouri Botanical Garden (2007); USDA-NRCS (2007)","-"
"France","46","2","Present","-","Introduced","-","-","Royal Botanic Garden Edinburgh (2007)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","Missouri Botanical Garden (2007)","-"
"Spain","40","-4","Present","-","Introduced","-","Invasive","Le Houérou (2002); Dana et al. (2004)","-"
"Mexico","23","-102","Present","-","Native","-","-","Benson (1982); Missouri Botanical Garden (2007)","Yucatan"
"Alabama","32.75041","-86.75026","Present","-","Native","-","No","USDA-NRCS (2007)","-"
"Florida","28.75054","-82.5001","Present","-","Native","-","No","USDA-ARS (2007); USDA-NRCS (2007)","-"
"Georgia","32.75042","-83.50018","Present","-","Native","-","No","USDA-NRCS (2007)","-"
"Louisiana","31.00047","-92.0004","Present","-","Native","-","No","USDA-NRCS (2007)","-"
"Mississippi","32.75041","-89.75036","Present","-","Native","-","-","Missouri Botanical Garden (2007); USDA-NRCS (2007)","-"
"North Carolina","35.50069","-80.00032","Present","-","Native","-","No","USDA-NRCS (2007)","-"
"South Carolina","34.00043","-81.00009","Present","-","Native","-","No","USDA-ARS (2007); USDA-NRCS (2007)","-"
"Texas","31.25044","-99.25061","Present","-","Native","-","No","USDA-ARS (2003)","-"
"Virginia","37.54812","-77.44675","Present","-","Native","-","-","USDA-NRCS (2007)","-"
"State of New South Wales","-33","146","Widespread","-","Introduced","1839","Invasive","Mann (1970); Parsons and Cuthbertson (1992)","-"
"State of Queensland","-20","145","Widespread","-","Introduced","1870","Invasive","Mann (1970); Parsons and Cuthbertson (1992)","-"
"State of South Australia","-30","135","Present","-","Introduced","-","Invasive","Parsons and Cuthbertson (1992)","-"
"State of Tasmania","-42","147","Present","-","Introduced","-","Invasive","Parsons and Cuthbertson (1992)","-"
"State of Victoria","-37","145","Present","-","Introduced","-","Invasive","Parsons and Cuthbertson (1992)","-"
"State of Western Australia","-25","122","Present","-","Introduced","-","Invasive","Parsons and Cuthbertson (1992)","-"
"New Caledonia","-21.5","165.5","Present","-","Introduced","-","Invasive","PIER (2007)","-"
"Solomon Islands","-8","159","Present","-","Introduced","-","-","PIER (2007)","-"
"Colombia","4","-72","Present","-","Native","-","-","Benson (1982)","-"
"Ecuador","-2","-77.5","Present","-","Native","-","-","Benson (1982); Missouri Botanical Garden (2007)","-"
"Galapagos Islands","0","-90.5","Present","-","Introduced","-","Invasive","PIER (2007)","-"
"Venezuela","8","-66","Present","-","Native","-","-","Missouri Botanical Garden (2007); USDA-ARS (2007)","-"
