<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Morocco","32","-5","Present","-","-","-","-","Holm et al. (1991)","-"
"Namibia","-22","17","Present","-","-","-","-","Holm et al. (1991)","-"
"South Africa","-29","24","Widespread","-","-","-","-","Holm et al. (1991); EPPO (2014)","-"
"Tunisia","34","9","Present","-","-","-","-","Holm et al. (1991)","-"
"India","20","77","Present","-","-","-","-","Holm et al. (1991)","-"
"Israel","31.5","34.75","Present","-","-","-","-","Holm et al. (1991); EPPO (2014)","-"
"France","46","2","Present","-","-","-","-","Valentine (1968); EPPO (2014)","-"
"Region Corse","42","9","Present","-","-","-","-","Valentine (1968); EPPO (2014)","-"
"Greece","39","22","Present","-","-","-","-","Valentine (1968); EPPO (2014)","-"
"Crete","35.15585","24.89502","Present","-","-","-","-","EPPO (2014)","-"
"Italy","42.83333","12.83333","Present","-","-","-","-","Valentine (1968); EPPO (2014)","-"
"Regione Autonoma della Sardegna","40","9","Present","-","-","-","-","EPPO (2014)","-"
"Regione Autonoma Siciliana","37.75","14.25","Present","-","-","-","-","EPPO (2014)","-"
"Malta","35.91667","14.43333","Present","-","-","-","-","EPPO (2014)","-"
"Portugal","39.5","-8","Present","-","-","-","-","Valentine (1968); EPPO (2014)","-"
"Spain","40","-4","Present","-","-","-","-","Valentine (1968); EPPO (2014)","-"
"Comunitat Autonoma de les Illes Balears","39.58876","2.90314","Present","-","-","-","-","Valentine (1968); EPPO (2014)","-"
"United Kingdom","54","-2","Present","-","-","-","-","Valentine (1968); EPPO (2014)","-"
"United States","39.76","-98.5","Present","-","-","-","-","Holm et al. (1991)","-"
"Australia","-25","135","Widespread","-","-","-","-","Holm et al. (1991)","-"
"State of New South Wales","-33","146","Present","-","-","-","-","Parsons and Cuthbertson (1992)","-"
"State of Queensland","-20","145","Present","-","-","-","-","Parsons and Cuthbertson (1992)","-"
"State of South Australia","-30","135","Present","-","-","-","-","Parsons and Cuthbertson (1992)","-"
"State of Tasmania","-42","147","Present","-","-","-","-","Parsons and Cuthbertson (1992)","-"
"State of Victoria","-37","145","Present","-","-","-","-","Parsons and Cuthbertson (1992)","-"
"State of Western Australia","-25","122","Present","-","-","-","-","Parsons and Cuthbertson (1992)","-"
"New Zealand","-42","174","Present","-","-","-","-","Holm et al. (1991)","-"
"Chile","-30","-71","Present","-","-","-","-","Holm et al. (1991)","-"
