<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","Introduced","-","-","USDA-ARS (2012)","-"
"Angola","-12.5","18.5","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"Burundi","-3.5","30","Present","-","Native","-","-","Clayton and Renvoize (1982)","-"
"Cameroon","6","12","Restricted distribution","-","Introduced","-","Invasive","Clayton (1972); EPPO (2014); Holm et al. (1979)","-"
"Congo Democratic Republic","0","25","Present","-","Introduced","-","-","Clayton and Renvoize (1982); Holm et al. (1979); EPPO (2014); Clayton and Renvoize (1982); USDA-ARS (2012)","-"
"Egypt","27","30","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"Eritrea","15","39","Present","-","Native","-","-","USDA-ARS (2012)","-"
"Ethiopia","8","38","Localised","-","Native","-","Invasive","Clayton and Renvoize (1982)","-"
"Kenya","1","38","Restricted distribution","-","Native","-","Invasive","Clayton and Renvoize (1982); EPPO (2014); Holm et al. (1979)","-"
"Madagascar","-20","47","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"Malawi","-13.5","34","Present","-","Native","-","-","USDA-ARS (2012)","-"
"Mauritius","-20.3","57.58333","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"Morocco","32","-5","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"Namibia","-22","17","Present","-","Introduced","-","-","USDA-ARS (2012)","-"
"Niger","18","9","Present","-","Introduced","-","-","Holm et al. (1979)","-"
"Nigeria","10","8","Restricted distribution","-","Introduced","-","-","Clayton (1972); EPPO (2014); Holm et al. (1979)","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","Invasive","Bonfils (1993)","-"
"Rwanda","-2","30","Present","-","Native","-","-","Clayton and Renvoize (1982)","-"
"South Africa","-29","24","Restricted distribution","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1979)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","-","USDA-ARS (2012); Scholz (2006); Siverio et al. (2011)","-"
"Swaziland","-26.5","31.5","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"Tanzania","-6","35","Restricted distribution","-","Native","-","Invasive","Clayton and Renvoize (1982); EPPO (2014); Holm et al.,1979","-"
"Tunisia","34","9","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"Uganda","2","33","Restricted distribution","-","Native","-","Invasive","Clayton and Renvoize (1982); EPPO (2014); Holm et al. (1979)","-"
"Zambia","-15","30","Present","-","Introduced","-","-","Clayton (1989); Holm et al. (1979)","-"
"Zimbabwe","-19","29","Restricted distribution","-","Introduced","-","-","Clayton (1989); EPPO (2014); Holm et al. (1979)","-"
"Bhutan","27.5","90.5","Widespread","-","Introduced","-","-","Parker (1992)","-"
"Cambodia","13","105","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979); PIER (2008)","-"
"China","35","105","Present","-","Introduced","1983","-","Dong et al. (2005); PIER (2008)","-"
"Jiangxi Sheng","28","116","Restricted distribution","-","Introduced","-","No","Ji et al. (2003)","-"
"Yunnan Sheng","25","102","Present only in captivity/cultivation","-","Introduced","1983","-","Dong et al. (2005)","-"
"India","20","77","Restricted distribution","-","Introduced","-","-","Bor (1979); EPPO (2014)","-"
"State of Himachal Pradesh","31","78","Localised","-","Introduced","-","-","Bimal and Sindhu (2004)","-"
"State of Karnataka","13.5","76","Present only in captivity/cultivation","-","Introduced","-","-","Krishanappa et al. (1998)","-"
"State of Meghalaya","25.5","91.33333","Present","-","Introduced","-","-","Shukla (1996)","-"
"State of Sikkim","27.75","88.5","Present","-","Introduced","-","-","Shukla (1996)","-"
"State of Tamil Nadu","11","78","Present","-","Introduced","-","-","Shukla (1996)","-"
"State of Uttarakhand","30.25","79.25","Localised","-","Introduced","-","-","Kandwal and Gupta (2006)","-"
"State of West Bengal","24","88","Present","-","Introduced","-","-","Shukla (1996)","-"
"Indonesia","-5","120","Present","-","Introduced","-","-","Bakar et al. (1990)","-"
"Irian Jaya","-5","138","Present","-","Introduced","-","-","PIER (2008)","-"
"Israel","31.5","34.75","Restricted distribution","-","Introduced","-","-","EPPO (2014); Holm et al. (1979)","-"
"Japan","35.68536","139.75309","Present only in captivity/cultivation","-","Introduced","-","-","Hirata et al. (1996)","-"
"Philippines","12.38","123.45","Present","-","Introduced","-","-","Robles (1979)","-"
"Sri Lanka","7","81","Restricted distribution","-","Introduced","-","Invasive","Adikaram et al. (2001); EPPO (2014); Holm et al. (1979)","-"
"Taiwan","24","121","Present","-","Introduced","-","Invasive","PIER (2008); Chou (1989)","-"
"Costa Rica","10","-84","Restricted distribution","-","Introduced","-","Invasive","EPPO (2014); Holm et al. (1979)","-"
