<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Groupe d’ Aldabra","-9.41667","46.36667","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Algeria","28","3","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Angola","-12.5","18.5","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Benin","9.5","2.25","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Burkina Faso","13","-2","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Cameroon","6","12","Present","-","Native","-","-","Clayton et al. (2013)","Weed (Randall, 2012)"
"Central African Republic","7","21","Present","-","Native","-","-","Clayton et al. (2013)","Weed (Randall, 2012)"
"Chad","15","19","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Republic of the Congo","-1","15","Present","-","Native","-","Invasive","Mbale (2010)","-"
"Congo Democratic Republic","0","25","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Ivory Coast","8","-5","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Equatorial Guinea","1.7","10.5","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Ethiopia","8","38","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Gabon","-1","11.75","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Gambia","13.5","-15.5","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Ghana","8.1","-1.2","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Guinea-Bissau","12","-15","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Kenya","1","38","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Liberia","6.5","-9.5","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Madagascar","-20","47","Present","-","Introduced","-","-","Clayton et al. (2013)","-"
"Malawi","-13.5","34","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Mali","18","-2","Present","-","Native","-","-","Clayton et al. (2013)","-"
"Mauritius","-20.3","57.58333","Present","-","Introduced","-","-","Clayton et al. (2013)","-"
"Morocco","32","-5","Present","-","Introduced","-","-","USDA-ARS (2013)","-"
"Mozambique","-18.25","35","Present","-","Native","-","-","Clayton et al. (2013)","-"
