<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Egypt","27","30","Present","-","Introduced","-","No","Ferry and Gómez (2002)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Native","-","No","USDA-ARS (2008)","endemic"
"China","35","105","Present","-","Introduced","-","-","Zhang and Lao (2005)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","-","-","Zhang and Lao (2005)","-"
"Israel","31.5","34.75","Present","-","Introduced","-","-","Friedman (2006)","-"
"Japan","35.68536","139.75309","Present","-","-","-","-","-","Present based on regional distribution."
"Kyushu","33","131","Present","-","Introduced","-","-","Yoshitake et al. (2001)","-"
"Taiwan","24","121","Present","-","Introduced","-","-","Liao and Chen (1997)","-"
"Guadeloupe","16.25","-61.58333","Present","-","Introduced","-","-","Missouri Botanical Garden (2008)","-"
"Nicaragua","13","-85","Present","-","Introduced","-","-","Missouri Botanical Garden (2008)","-"
"France","46","2","Present","-","Introduced","-","-","Piry and Gompel (2002)","-"
"Greece","39","22","Present","-","Introduced","-","-","Elena (2005)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","-","Pane et al. (2007)","-"
"Spain","40","-4","Present","-","Introduced","-","No","Ferry and Gómez (2002)","-"
"United States","39.76","-98.5","Present","-","-","-","-","-","-"
"Arizona","34.5003","-111.50098","Present","-","Introduced","-","-","Missouri Botanical Garden (2008)","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","-","USDA-NRCS (2008)","-"
"Florida","28.75054","-82.5001","Present","-","Introduced","-","-","USDA-NRCS (2008)","-"
"Texas","31.25044","-99.25061","Present","-","Introduced","-","-","Harrison et al. (2002)","-"
"Australia","-25","135","Present","-","-","-","-","-","-"
"State of New South Wales","-33","146","Present","-","Introduced","-","-","Summerell et al. (2006)","-"
"State of South Australia","-30","135","Present","-","Introduced","-","-","Summerell and Gunn (2001)","-"
"State of Victoria","-37","145","Present","-","Introduced","-","-","Summerell et al. (2006)","-"
"Argentina","-34","-64","Present","-","Introduced","-","-","Missouri Botanical Garden (2008)","-"
"Bolivia","-17","-65","Present","-","Introduced","-","-","Missouri Botanical Garden (2008)","-"
"Colombia","4","-72","Present","-","Introduced","-","-","Missouri Botanical Garden (2008)","-"
"Peru","-10","-76","Present","-","Introduced","-","-","Missouri Botanical Garden (2008)","-"
