<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Angola","-12.5","18.5","Widespread","-","-","-","-","Holm et al. (1979)","-"
"Benin","9.5","2.25","Present","-","-","-","Invasive","Diop (2006); Holm et al. (1979)","-"
"Botswana","-22","24","Present","-","Introduced","-","Invasive","Kurugundla (2013); USDA-ARS (2009)","-"
"Burkina Faso","13","-2","Present","-","-","-","Invasive","EPPO (2007); EPPO (2014); Holm et al. (1979)","-"
"Burundi","-3.5","30","Present","-","-","-","-","USDA-ARS (2009)","-"
"Cameroon","6","12","Present","-","-","-","-","Hepper, 1968","-"
"Central African Republic","7","21","Present","-","-","-","-","USDA-ARS (2009)","-"
"Chad","15","19","Present","-","-","-","-","USDA-ARS (2009)","-"
"Comoros","-11.636","43.338","Present","-","-","-","-","USDA-ARS (2009)","-"
"Congo Democratic Republic","0","25","Present","-","-","-","-","Holm et al. (1979); USDA-ARS (2009)","-"
"Ivory Coast","8","-5","Present","-","-","-","Invasive","Diop (2006); Holm et al. (1979)","-"
"Egypt","27","30","Present","-","-","-","-","Holm et al. (1979); EPPO (2014)","-"
"Equatorial Guinea","1.7","10.5","Present","-","-","-","-","USDA-ARS (2009)","-"
"Ethiopia","8","38","Widespread","-","-","-","-","Holm et al. (1979)","-"
"Gabon","-1","11.75","Present","-","-","-","-","USDA-ARS (2009)","-"
"Gambia","13.5","-15.5","Present","-","-","-","-","USDA-ARS (2009)","-"
"Ghana","8.1","-1.2","Widespread","-","-","-","-","Holm et al. (1979)","-"
"Guinea","11","-10","Present","-","-","-","-","Holm et al. (1979)","-"
"Guinea-Bissau","12","-15","Present","-","-","-","-","USDA-ARS (2009)","-"
"Kenya","1","38","Present","-","-","-","Invasive","BioNET-EAFRINET (The East African Network for Taxonomy) (2011); Holm et al. (1979)","-"
"Lesotho","-29.5","28.25","Present","-","-","-","-","USDA-ARS (2009)","-"
"Liberia","6.5","-9.5","Present","-","-","-","-","Hepper, 1968","-"
"Madagascar","-20","47","Widespread","-","-","-","-","Holm et al. (1979)","-"
"Malawi","-13.5","34","Present","-","-","-","-","USDA-ARS (2009)","-"
"Mali","18","-2","Present","-","-","-","-","Holm et al. (1979)","-"
"Mauritania","20","-12","Present","-","-","-","-","Holm et al. (1979)","-"
"Mauritius","-20.3","57.58333","Present","-","-","-","-","USDA-ARS (2009)","-"
"Morocco","32","-5","Present","-","-","-","-","EPPO (2014)","-"
"Mozambique","-18.25","35","Widespread","-","-","-","-","Holm et al. (1979)","-"
"Namibia","-22","17","Present","-","-","-","-","USDA-ARS (2009)","-"
"Niger","18","9","Present","-","-","-","-","Holm et al. (1979)","-"
"Nigeria","10","8","Widespread","-","-","-","-","Holm et al. (1979)","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","Invasive","PIER (2003)","-"
"Rwanda","-2","30","Present","-","-","-","-","USDA-ARS (2009)","-"
"Senegal","14","-14","Widespread","-","-","-","-","Holm et al. (1979); Diop (2006)","-"
"Seychelles","-4.682","55.483","Present","-","Introduced","-","-","PIER (2003); EPPO (2007); EPPO (2014)","-"
"Sierra Leone","8.5","-11.5","Present","-","-","-","-","Hepper, 1968","-"
"Somalia","6","48","Present","-","-","-","-","USDA-ARS (2009)","-"
"South Africa","-29","24","Present","-","-","-","Invasive","EPPO (2007); Holm et al. (1979)","-"
"Comunidad Autonoma de Canarias","28","-15.5","Present","-","Introduced","-","Invasive","DAISIE (2013); EPPO (2014)","-"
"Sudan","16","30","Present","-","-","-","-","Holm et al. (1979)","-"
"Swaziland","-26.5","31.5","Present","-","-","-","-","USDA-ARS (2009); EPPO (2007); EPPO (2014)","-"
"Tanzania","-6","35","Widespread","-","-","-","-","Holm et al. (1979); BioNET-EAFRINET (The East African Network for Taxonomy) (2011)","-"
"Togo","8","1.16667","Present","-","-","-","-","Holm et al. (1977)","-"
"Uganda","2","33","Present","-","-","-","Invasive","BioNET-EAFRINET (The East African Network for Taxonomy) (2011); USDA-ARS (2009)","-"
"Zambia","-15","30","Present","-","-","-","-","Holm et al. (1979); Diop (2006)","-"
"Zimbabwe","-19","29","Present","-","-","-","Invasive","Hyde et al. (2013); Holm et al. (1979)","-"
"Afghanistan","33","66","Present","-","-","-","-","USDA-ARS (2009)","-"
"Bangladesh","24","90","Widespread","-","-","-","-","Holm et al. (1979)","-"
"Brunei","4.5","114.66667","Present","-","Introduced","-","Invasive","PIER (2003); Waterhouse (1993)","-"
"Cambodia","13","105","Present","-","Introduced","-","Invasive","PIER (2003); EPPO (2014); Holm et al. (1979); Waterhouse (1993)","-"
"China","35","105","Present","-","Introduced","-","Invasive","PIER (2003); EPPO (2014); Holm et al. (1979)","-"
"Anhui Sheng","32","117","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2012)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2012)","-"
"Guangdong Sheng","23","113","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2012)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2012)","-"
"Hubei Sheng","31","112","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2012)","-"
"Hunan Sheng","28","112","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2012)","-"
"Jiangsu Sheng","33","120","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2012)","-"
"Jiangxi Sheng","28","116","Present","-","Introduced","-","Invasive","Flora of China Editorial Committee (2012)","-"
"Shandong Sheng","36","119","Present","-","Introduced","-","-","Flora of China Editorial Committee (2012)","Cultivated"
"Sichuan Sheng","30.5","102.5","Present","-","Introduced","-","-","Flora of China Editorial Committee (2012)","Cultivated"
"Yunnan Sheng","25","102","Present","-","Introduced","-","-","Flora of China Editorial Committee (2012)","-"
