<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Angola","-12.5","18.5","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Benin","9.5","2.25","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Botswana","-22","24","Present","-","Introduced","-","Invasive","Buss (2002); Holm et al. (1979)","-"
"Burkina Faso","13","-2","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Burundi","-3.5","30","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Cape Verde","15.08","-23.63","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Central African Republic","7","21","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Chad","15","19","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Congo Democratic Republic","0","25","Present","-","Introduced","-","-","Govaerts (2014); Holm et al. (1979)","Cultivated and naturalized"
"Djibouti","11.5","42.5","Present","-","-","-","-","Govaerts (2014)","Probably native"
"Egypt","27","30","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Ethiopia","8","38","Present","-","Native","-","No","ISSG (2013)","-"
"Gabon","-1","11.75","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Gambia","13.5","-15.5","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Ghana","8.1","-1.2","Present","-","Introduced","-","-","Holm et al. (1979)","-"
"Guinea","11","-10","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Guinea-Bissau","12","-15","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Kenya","1","38","Present","-","Introduced","-","Invasive","BioNET-EAFRINET (2014)","Cultivated and naturalized"
"Libya","28","17","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Mali","18","-2","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Mauritania","20","-12","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Mayotte","-12.83333","45.16667","Present","-","Introduced","-","Invasive","PIER (2014)","-"
"Morocco","32","-5","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Namibia","-22","17","Widespread","-","Introduced","-","Invasive","Bethune et al. (2004); Henschel and Parr (2010)","-"
"Reunion","-21.1","55.6","Present","-","Introduced","-","Invasive","PIER (2014)","-"
"Rwanda","-2","30","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Saint Helena","-15.95","-5.7","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Senegal","14","-14","Present","-","Introduced","-","-","Govaerts (2014)","Cultivated and naturalized"
"Seychelles","-4.682","55.483","Present","-","Introduced","-","Invasive","PIER (2014)","-"
"Somalia","6","48","Present","-","Native","-","-","Govaerts (2014)","-"
"South Africa","-29","24","Present","-","Introduced","-","Invasive","Henderson (2007)","Cultivated and naturalized"
