<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Bangladesh","24","90","Present","-","Introduced","-","-","Hadiuzzaman Khondker (1993)","-"
"Taiwan","24","121","Present, few occurrences","-","Introduced","-","Invasive","Chen et al. (2008)","-"
"Belize","17.25","-88.75","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Cayman Islands","19.319","-81.24","Present","-","-","-","-","GBIF (2009)","-"
"Costa Rica","10","-84","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Cuba","22","-79.5","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Dominican Republic","19","-70.66667","Present","-","-","-","-","GBIF (2009)","-"
"El Salvador","13.83333","-88.91667","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Guatemala","15.5","-90.25","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Honduras","15","-86.5","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Nicaragua","13","-85","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Panama","9","-80","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Puerto Rico","18.24829","-66.49989","Present","-","-","-","-","GBIF (2009)","-"
"Trinidad and Tobago","10.45","-61.25","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Spain","40","-4","Present","-","-","-","-","Cueto and Fuentes (2015)","Andalusia"
"Mexico","23","-102","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Argentina","-34","-64","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Bolivia","-17","-65","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Brazil","-10","-55","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Chile","-30","-71","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Colombia","4","-72","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Ecuador","-2","-77.5","Present","-","Native","-","-","USDA-ARS (2009)","-"
"French Guiana","4","-53","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Guyana","5","-59","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Paraguay","-22.99333","-57.99639","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Peru","-10","-76","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Suriname","4","-56","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Uruguay","-33","-56","Present","-","Native","-","-","USDA-ARS (2009)","-"
"Venezuela","8","-66","Present","-","Native","-","-","USDA-ARS (2009)","-"
