<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Botswana","-22","24","Present","-","Native","-","-","EPPO (2014); Hilliard (1977); Werner et al. (1991)","-"
"Lesotho","-29.5","28.25","Present","-","Native","-","-","EPPO (2014); Werner et al. (1991)","-"
"Mozambique","-18.25","35","Present","-","Native","-","-","EPPO (2014); Werner et al. (1991)","-"
"Namibia","-22","17","Present","-","Native","-","-","EPPO (2014); Hilliard (1977); Werner et al. (1991)","-"
"South Africa","-29","24","Widespread","-","Native","-","No","EPPO (2014); Hilliard (1977)","-"
"Swaziland","-26.5","31.5","Present","-","Native","-","-","EPPO (2014); USDA-ARS (2003)","-"
"Taiwan","24","121","Present, few occurrences","-","-","-","-","EPPO (2014)","-"
"Andorra","42.5","1.5","Present","-","Introduced","-","No","EPPO (2014); Montserrat Recoder & Benito Alonso, 2000","-"
"Austria","47.33333","13.33333","Present","-","-","-","-","Schinninger et al. (2002)","-"
"Belgium","50.83333","4","Present","-","Introduced","1922","Invasive","D'Hose and de Langhe (1989); EPPO (2014); Mosseray (1936)","-"
"Bulgaria","43","25","Present, few occurrences","-","-","-","-","EPPO (2014)","-"
"Croatia","45.16667","15.5","Present","-","-","-","-","Milovic and Pandza (2014)","-"
"Czech Republic","49.75","15","Restricted distribution","-","Introduced","-","No","EPPO (2014); Pysek et al. (2002)","-"
"Denmark","56","10","Present","-","Introduced","-","No","EPPO (2014); Skovgaard (1993)","-"
"Finland","64","26","Present, few occurrences","-","Introduced","-","No","Bornkamm (2002); EPPO (2014)","-"
"France","46","2","Restricted distribution","-","Introduced","1935","Invasive","Chater and Walters (1976); EPPO (2014); Jovet and Bosserdet (1962)","-"
"Region Corse","42","9","Present, few occurrences","-","-","-","-","EPPO (2014)","-"
"Germany","51.5","10.5","Widespread","-","Introduced","1889","Invasive","Brennenstuhl (1995); EPPO (2014); Kuhbier (1977); Kuhbier (1996); Stieglitz (1977)","-"
"Italy","42.83333","12.83333","Widespread","-","Introduced","1947","Invasive","Brandes and (1999); EPPO (2014); Martini and Zappa (1993); Pignatti (1982); Tammaro and Giglio (1994)","-"
"Netherlands","52.5","5.75","Widespread","-","Introduced","1939","Invasive","Adema and Mennema (1978); EPPO (2014); Ernst and (1998); NPPO of the Netherlands, 2013","-"
"Norway","62","10","Present, few occurrences","-","Introduced","-","No","EPPO (2014); Often (1997)","-"
"Poland","52","20","Present","-","Introduced","-","No","EPPO (2014); Ernst and (1998); Kocián (2016)","-"
"Romania","46","25","Present, few occurrences","-","Introduced","-","No","Sirbu and Oprea (2010)","-"
"Slovakia","48.66667","19.5","Present","-","-","-","-","Kocián (2016)","-"
"Slovenia","46.25","15.16667","Restricted distribution","-","Introduced","-","-","Glasnovic and Pecnikar (2010)","-"
"Spain","40","-4","Present","-","Introduced","-","No","EPPO (2014); Guillerm et al. (1990)","-"
"Sweden","62","15","Present","-","Introduced","-","No","Bornkamm (2002); EPPO (2014)","-"
"Switzerland","47.00016","8.01427","Present","-","Introduced","-","-","EPPO (2014); Mayor (1996)","-"
"United Kingdom","54","-2","Present","-","Introduced","1908","No","EPPO (2014); Hayward and Druce (1919); Lousley (1961); MacPherson (1997)","-"
"Northern Ireland","54.5","-6.5","Present","-","-","-","-","EPPO (2014)","-"
"Mexico","23","-102","Present","-","-","-","-","EPPO (2014)","-"
"Australia","-25","135","Present","-","Introduced","-","-","Monty et al. (2010)","-"
"Argentina","-34","-64","Present","-","-","-","-","EPPO (2014)","-"
