<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Algeria","28","3","Present","-","-","-","-","-","-"
"Libya","28","17","Present","-","-","-","-","-","-"
"Morocco","32","-5","Present","-","-","-","-","-","-"
"Tunisia","34","9","Present","-","-","-","-","-","-"
"Armenia","40","45","Present","-","-","-","-","-","-"
"Azerbaijan","40.5","47.5","Present","-","-","-","-","-","-"
"Israel","31.5","34.75","Present","-","-","-","-","-","-"
"Lebanon","33.83333","35.83333","Present","-","-","-","-","-","-"
"Syria","35","38","Present","-","-","-","-","-","-"
"Turkey","39.05901","34.91155","Present","-","-","-","-","-","-"
"Europe","48.69096","9.14062","Present","-","-","-","-","-","-"
"Albania","41","20","Present","-","-","-","-","-","-"
"Bulgaria","43","25","Present","-","-","-","-","-","-"
"France","46","2","Present","-","-","-","-","-","-"
"Italy","42.83333","12.83333","Present","-","-","-","-","-","-"
"Portugal","39.5","-8","Present","-","-","-","-","-","-"
"Romania","46","25","Present","-","-","-","-","-","-"
